"","Course Code","Course Name","Category","Required from Category","Course Description","Prerequisite","Antirequisite","Corequisite","Note","Other Information","Lecture","Lab","Test Slot","Tutorial","Project","Reading","Studio","Credit Amount"
"13","CS 480","Introduction to Machine Learning","Category 5","One","Introduction to modeling and algorithmic techniques for machines to learn concepts from data. Generalization: underfitting, overfitting, cross-validation. Tasks: classification, regression, clustering. Optimization-based learning: loss minimization. regularization. Statistical learning: maximum likelihood, Bayesian learning. Algorithms: nearest neighbour, (generalized) linear regression, mixtures of Gaussians, Gaussian processes, kernel methods, support vector machines, deep learning, sequence learning, ensemble techniques. Large scale learning: distributed learning and stream learning. Applications: Natural language processing, computer vision, data mining, human computer interaction, information retrieval.","Prereq: CS 341 and (STAT 206 or 231 or 241); Computer Science and BMath (Data Science) students only.","","","[Note: Lab is not scheduled and students are expected to find time in open hours to complete their work. Offered: F,W,S]","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
"14","CS 480","Introduction to Machine Learning","Category 6","Two","Introduction to modeling and algorithmic techniques for machines to learn concepts from data. Generalization: underfitting, overfitting, cross-validation. Tasks: classification, regression, clustering. Optimization-based learning: loss minimization. regularization. Statistical learning: maximum likelihood, Bayesian learning. Algorithms: nearest neighbour, (generalized) linear regression, mixtures of Gaussians, Gaussian processes, kernel methods, support vector machines, deep learning, sequence learning, ensemble techniques. Large scale learning: distributed learning and stream learning. Applications: Natural language processing, computer vision, data mining, human computer interaction, information retrieval.","Prereq: CS 341 and (STAT 206 or 231 or 241); Computer Science and BMath (Data Science) students only.","","","[Note: Lab is not scheduled and students are expected to find time in open hours to complete their work. Offered: F,W,S]","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
"15","CS 485","Statistical and Computational Foundations of Machine Learning","Category 5","One","Extracting meaningful patterns from random samples of large data sets. Statistical analysis of the resulting problems. Common algorithmic paradigms for such tasks. Central concepts: VC-dimension, margins of a classifier, sparsity and description length, other types of regularization. Performance guarantees: generalization bounds, data dependent error bounds, and computational complexity of learning algorithms. Common paradigms: neural networks, kernel methods and support-vector machines, boosting, nearest neighbor classifiers. Applications to data mining.","Prereq: CS 341 and (STAT 206 or 230 or 240); Computer Science and BMath (Data Science) students only","","","","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
"16","CS 485","Statistical and Computational Foundations of Machine Learning","Category 6","Two","Extracting meaningful patterns from random samples of large data sets. Statistical analysis of the resulting problems. Common algorithmic paradigms for such tasks. Central concepts: VC-dimension, margins of a classifier, sparsity and description length, other types of regularization. Performance guarantees: generalization bounds, data dependent error bounds, and computational complexity of learning algorithms. Common paradigms: neural networks, kernel methods and support-vector machines, boosting, nearest neighbor classifiers. Applications to data mining.","Prereq: CS 341 and (STAT 206 or 230 or 240); Computer Science and BMath (Data Science) students only","","","","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
"17","CS 486","Introduction to Artificial Intelligence","Category 5","One","Goals and methods of artificial intelligence. Methods of general problem solving. Knowledge representation and reasoning. Planning. Reasoning about uncertainty. Machine learning. Multi-agent systems. Natural language processing.","Prereq: CS 341; Computer Science and BMath (Data Science) students only.","","Coreq: STAT 206 or 231 or 241.","[Note: Lab is not scheduled and students are expected to find time in open hours to complete their work. Offered: F,W,S]","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
"18","CS 486","Introduction to Artificial Intelligence","Category 6","Two","Goals and methods of artificial intelligence. Methods of general problem solving. Knowledge representation and reasoning. Planning. Reasoning about uncertainty. Machine learning. Multi-agent systems. Natural language processing.","Prereq: CS 341; Computer Science and BMath (Data Science) students only.","","Coreq: STAT 206 or 231 or 241.","[Note: Lab is not scheduled and students are expected to find time in open hours to complete their work. Offered: F,W,S]","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
"19","MATH 239","Introduction to Combinatorics","Category 2","One","Introduction to graph theory: colourings, matchings, connectivity, planarity. Introduction to combinatorial analysis: generating series, recurrence relations, binary strings, plane trees. [Offered: F,W,S]","Prereq: ((MATH 106 with a grade of at least 70% or MATH 136 or 146) and (MATH 135 with a grade of at least 60% or MATH 145)) or level at least 2A Software Engineering; Honours Mathematics students only.","Antireq: CO 220, MATH 229, 249","","","Also offered Online",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"20","MATH 249","Introduction to Combinatorics (Advanced Level)","Category 2","One","MATH 249 is an advanced-level version of MATH 239. [Offered: F,W]","Prereq: (MATH 135 with minimum grade of 80% or MATH 145) and (MATH 136 or 146); Honours Mathematics students only.","Antireq: CO 220, MATH 229, 239","","","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
"21","STAT 341","Computational Statistics and Data Analysis","Category 3","All","A computationally focused approach to statistical reasoning in the context of real data. Functional programming in R and algorithms will be used to define interesting attributes of finite populations and their sampling characteristics. Computational approaches to inductive inference and the assessment of predictive accuracy. [Offered: F,W]","Prereq: MATH 237 or 247, (STAT 230 with a grade of at least 60% or STAT 240), STAT 231 or 241","","","","",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"22","STAT 431","Generalized Linear Models and their Applications","Category 6","Two","Review of the normal linear model and maximum likelihood estimation; regression models for binomial, Poisson and multinomial data; generalized linear models; and other topics in regression modelling. [Offered: F,W,S]","Prereq: STAT 330, (331 or 371)","","","","",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"23","STAT 440","Computational Inference","Category 6","Two","Introduction to and application of computational methods in statistical inference. Monte Carlo evaluation of statistical procedures, exploration of the likelihood function through graphical and optimization techniques. Topics include expectation-maximization, Bootstrapping, Markov Chain Monte Carlo, and other computationally intensive methods. [Offered: W,S]","Prereq: STAT 330, STAT 341","","","","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"24","STAT 441","Statistical Learning - Classification","Category 5","One","Classification is the problem of predicting a discrete outcome from a set of explanatory variables. Main topics include logistic regression, neural networks, tree-based methods, support vector machines, and nearest neighbour methods. Other topics include model assessment, training, and tuning. [Offered: F,W]","Prereq: STAT 341; STAT 331 or 371","","","","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"25","STAT 441","Statistical Learning - Classification","Category 6","Two","Classification is the problem of predicting a discrete outcome from a set of explanatory variables. Main topics include logistic regression, neural networks, tree-based methods, support vector machines, and nearest neighbour methods. Other topics include model assessment, training, and tuning. [Offered: F,W]","Prereq: STAT 341; STAT 331 or 371","","","","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"26","STAT 442","Data Visualization","Category 6","Two","Visualization methods applied to data. Both human perception and statistical properties inform the methods used to display and visually explore categorical, continuous, time-ordered, map, and high dimensional data. Order and layout effects on tables and graphics. Statistical concepts visually presented include variability, densities, quantiles, conditioning, and hypothesis testing. Interactive graphics include linking, brushing, motion, and the navigation of high dimensional spaces guided via projection indices. Glyphs (e.g., cartoon, statistical, or heatmap) and radial and parallel coordinates. [Offered: F,W]","Prereq: STAT 341","","","","",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"27","STAT 443","Forecasting","Category 6","Two","Modelling techniques for forecasting time series data: smoothing methods, regression including penalty/regularization methods, the Box-Jenkins framework, stationary and non-stationary processes, both with and without seasonal effects. Other topics may include: ARCH/GARCH models, Bayesian methods, dynamic linear models, Markov Chain Monte Carlo simulation, spectral density analysis, and periodograms. [Offered: F,W,S]","Prereq: STAT 331 or 371 or SYDE 334.","Antireq: STAT 321, 373","","","",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"28","STAT 444","Statistical Learning - Advanced Regression","Category 6","Two","This course introduces modern applied regression methods for continuous response modelling, emphasizing both explainability and predictive power. Topics cover a wide selection of advanced methods useful to address the challenges arising from real-world and high-dimensional data; methods include robust regression, nonparametric regression such as smoothing splines, kernels, additive models, tree-based methods, boosting and bagging, and penalized linear regression methods such as the ridge regression, lasso, and their variants. Students will gain an appreciation of the mathematical and statistical concepts underlying the methods and also computational experience in applying the methods to real data. [Offered: W,S]","Prereq: STAT 341; STAT 331 or 371","","","","",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
