"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Recommended Preperation","Hours","Lecture","Lab","Seminar","Tutorial","Breadth Requirement","Distribution Requirement","Delivery Format","Note"
"11","JUM203H1","Mathematics as a Recreation","A study of games, puzzles and problems focusing on the deeper principles they illustrate. Concentration is on problems arising out of number theory and geometry, with emphasis on the process of mathematical reasoning. Technical requirements are kept to a minimum. A foundation is provided for a continuing lay interest in mathematics. (Offered every three years) JUM203H1 is particularly suited as a Science Distribution Requirement course for Humanities and Social Science students. ",3,"JUM103H1","","","","24L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"12","JUM205H1","Mathematical Personalities","An in-depth study of the life, times and work of several mathematicians who have been particularly influential. Examples may include Newton, Euler, Gauss, Kowalewski, Hilbert, Hardy, Ramanujan, Gödel, Erdös, Coxeter, Grothendieck. (Offered every three years) JUM205H1 is particularly suited as a Science Distribution Requirement course for Humanities and Social Science students. ",3,"JUM105H1","","","","24L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"13","MAT221H1","Applied Linear Algebra","An application-oriented approach to linear algebra, based on calculations in standard Euclidean space. Systems of linear equations, matrices, Gaussian elimination, subspaces, bases, orthogonal vectors and projections. Matrix inverses, kernel and range, rank-nullity theorem. Determinants, eigenvalues and eigenvectors, Cramer's rule, diagonalization. This course has strong emphasis on building computational skills in the area of algebra. Applications to curve fitting, economics, Markov chains and cryptography. ",3,"MAT223H1 or MAT223H5 or MATA22H3 or MATA23H3 or MAT224H1 or MAT224H5 or MATB24H3 or MAT240H1 or MAT240H5 or MAT185H1 or MAT188H1","","High school level calculus","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"14","MAT223H1","Linear Algebra I","A first course on linear algebra in R^n emphasizing the interplay between algebraic and geometric perspectives. Topics include systems of equations, Gaussian elimination, representations of lines and planes, dot products, subspaces and translated subspaces, bases and change of basis, projections, the rank and nullity of a linear transformation, the rank/nullity/row space/column space of a matrix, matrix inverses, determinants, eigenvectors and eigenvalues, and matrix diagonalization. While not emphasizing proofs, this course does maintain a careful distinction between vectors and their representation in a basis as well as between matrices and linear transformations. ",3,"MAT223H5 or MATA22H3 or MATA23H3 or MAT224H1 or MAT224H5 or MATB24H3 or MAT240H1 or MAT240H5 or MAT247H1 or MAT247H5 or MAT185H1 or MAT188H1","","High school level calculus","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"15","MAT224H1","Linear Algebra II","Fields, complex numbers, vector spaces over a field, linear transformations, matrix of a linear transformation, kernel, range, dimension theorem, isomorphisms, change of basis, eigenvalues, eigenvectors, diagonalizability, real and complex inner products, spectral theorem, adjoint/self-adjoint/normal linear operators, triangular form, nilpotent mappings, Jordan canonical form. ",3,"","","MAT221H1(80%) or MAT223H1 or MAT223H5 or MATA22H3 or MATA23H3 or MAT240H1 or MAT240H5","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"16","MAT235Y1","Multivariable Calculus","Parametric equations and polar coordinates. Vectors, vector functions and space curves. Differential and integral calculus of functions of several variables. Line integrals and surface integrals and classic vector calculus theorems. Examples from life sciences and physical science applications. ",6,"MAT235Y5 or ( MAT232H5 or MAT233H5, MAT236H5 or MAT368H5) or ( MATB41H3, MATB42H3) or MAT237Y1 or MAT291H1 or MAT294H1","","MAT133Y1 or MAT133Y5 or ( MATA32H3, MATA33H3) or ( MAT135H1, MAT136H1) or ( MAT135H5, MAT136H5) or MAT134Y5 or MAT135Y5 or ( MATA30H3 or MATA31H3, MATA36H3 or MATA37H3) or MAT137Y1 or MAT137Y5 or MAT157Y1 or MAT157Y5","MAT223H1 or MAT223H5 or MATA22H3 or MATA23H3 or MAT240H1 or MAT240H5","72L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"17","APM236H1","Applications of Linear Programming","Introduction to linear programming including a rapid review of linear algebra (row reduction, matrix inversion, linear independence), the simplex method with applications, the duality theorem, complementary slackness, the dual simplex method and the revised simplex method. ",3,"","","MAT221H1 or MAT223H1 or MAT223H5 or MATA22H3 or MATA23H3 or MAT240H1 or MAT240H5","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"18","MAT237Y1","Multivariable Calculus with Proofs","Elementary topology in Euclidean space. Differential calculus of vector valued functions of a vector variable. Implicit and inverse function theorems, regular surfaces. Optimization, Lagrange multipliers, multivariable Taylor polynomials. Integral calculus with the Jordan measure. Fubini’s theorem, change of variables. Line and surface integrals. Vector calculus in two- and three-dimensions. Green’s theorem, Divergence theorem, Stokes’ theorem. Fourier series. This course is recommended for students interested in proof-based multivariable calculus with balanced emphasis between theory and applications. ",6,"","","[( MAT135H1, MAT136H1) or ( MAT135H5, MAT136H5) or MAT134Y5 or MAT135Y5 or ( MATA30H3 or MATA31H3, MATA36H3), MAT138H1 or MAT102H5 or MAT246H1] or MAT137Y1 or MAT137Y5 or ( MATA30H3 or MATA31H3, MATA37H3) or MAT157Y1 or MAT157Y5, MAT223H1 or MATA22H3 or MATA23H3 or MAT240H1 or MAT240H5","","72L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"19","MAT240H1","Algebra I","A theoretical approach to: vector spaces over arbitrary fields, including C and Z_p. Subspaces, bases and dimension. Linear transformations, matrices, change of basis, similarity, determinants. Polynomials over a field (including unique factorization, resultants). Eigenvalues, eigenvectors, characteristic polynomial, diagonalization. Minimal polynomial, Cayley-Hamilton theorem. ",3,"MAT240H5","MAT157Y1","High school level calculus","","36L/24T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"20","MAT244H1","Introduction to Ordinary Differential Equations","First order ordinary differential equations: Direction fields, integrating factors, separable equations, homogeneous equations, exact equations, autonomous equations, modeling. Existence and uniqueness theorem. Higher order equations: Constant coefficient equations, reduction of order, Wronskian, method of undetermined coefficients, variation of parameters. Solutions by series and integrals. First order linear systems, fundamental matrices. Non-linear equations, phase plane, stability. Applications in life and physical sciences and economics. ",3,"MAT242H5 or MAT244H5 or MATB44H3 or MAT212H5 or MAT258Y5 or MAT292H1","MAT235Y1 or MAT237Y1 or MAT257Y1","( MAT135H1 or MAT135H5 or MATA35H3 or MATA30H3 or MATA31H3, MAT136H1 or MAT136H5 or MATA36H3 or MATA37H3) or MAT135Y5 or MAT137Y1 or MAT137Y5 or MAT157Y1 or MAT157Y5, MAT223H1 or MATA23H3 or MAT223H5 or MAT240H1 or MAT240H5","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"21","MAT245H1","Mathematical Methods in Data Science","An introduction to the mathematical methods behind scientific techniques developed for extracting information from large data sets. Elementary probability density functions, conditional expectation, inverse problems, regularization, dimension reduction, gradient methods, singular value decomposition and its applications, stability, diffusion maps. Examples from applications in data science and big data. ",3,"","MAT237Y1 or MAT257Y1","MAT137Y1 or MAT157Y1, MAT223H1 or MAT240H1, MAT224H1 or MAT247H1","","36L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"22","MAT246H1","Concepts in Abstract Mathematics","Designed to introduce students to mathematical proofs and abstract mathematical concepts. Topics may include modular arithmetic, sizes of infinite sets, and a proof that some angles cannot be trisected with straightedge and compass. ",3,"MAT157Y1 or MAT157Y5","","MAT133Y1 or MAT133Y5 or ( MATA32H3, MATA33H3) or ( MAT135H1, MAT136H1) or ( MAT135H5, MAT136H5) or MAT134Y5 or MAT135Y5 or ( MATA30H3 or MATA31H3, MATA36H3 or MATA37H3) or MAT137Y1 or MAT137Y5, MAT223H1 or MATA22H3 or MATA23H3 or MAT240H1 or MAT240H5","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"23","MAT247H1","Algebra II","A theoretical approach to real and complex inner product spaces, isometries, orthogonal and unitary matrices and transformations. The adjoint. Hermitian and symmetric transformations. Spectral theorem for symmetric and normal transformations. Polar representation theorem. Primary decomposition theorem. Rational and Jordan canonical forms. Additional topics including dual spaces, quotient spaces, bilinear forms, quadratic surfaces, multilinear algebra. ",3,"MAT247H5","MAT157Y1","MAT240H1 or MAT240H5","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"24","MAT257Y1","Analysis II","Topology of R^n; compactness, functions and continuity, extreme value theorem. Derivatives; inverse and implicit function theorems, maxima and minima, Lagrange multipliers. Integration; Fubini's theorem, partitions of unity, change of variables. Differential forms. Manifolds in R^n; integration on manifolds; Stokes' theorem for differential forms and classical versions. Some topics may vary year-to-year. ",6,"","","MAT157Y1 or MAT157Y5, MAT247H1 or MAT247H5","","72L/48T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"25","MAT267H1","Advanced Ordinary Differential Equations","A theoretical course on Ordinary Differential Equations. First-order equations: separable equations, exact equations, integrating factors. Variational problems, Euler-Lagrange equations. Linear equations and first-order systems. Fundamental matrices, Wronskians. Non-linear equations. Existence and uniqueness theorems. Method of power series. Elementary qualitative theory; stability, phase plane, stationary points. Oscillation theorem, Sturm comparison. Applications in mechanics, physics, chemistry, biology and economics. ",3,"MAT234H1 or MAT292H1","MAT257Y1","MAT157Y1 or MAT157Y5, MAT247H1 or MAT247H5","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"26","MAT271H1","Insights from Mathematics","This breadth course is accessible to students with limited mathematical background. Various mathematical techniques will be illustrated with examples from humanities and social science disciplines. Some of the topics will incorporate user friendly computer explorations to give participants the feel of the subject without requiring skill at calculations.  ",3,"","","","","36L/6T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class","This course cannot be used to satisfy requirements of program in the math department."
"27","MAT282H1","Topics in Mathematics","A course in mathematics on a topic outside the current undergraduate offerings. For information on the specific topic to be studied and possible additional prerequisites, go to http://www.math.toronto.edu/cms/current-students-ug/ ",3,"","","1.0 MAT credit at the 100-level. Possible additional topic-specific prerequisites.","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"28","MAT295H1","Independent Reading in Mathematics","Independent study under the direction of a faculty member. Topic must be outside undergraduate offerings. Similar workload to a 36L course. Not eligible for CR/NCR option. Completed applications for this course are due to the Math Undergraduate Program Office no later than the third day of the term that the reading course will start. ",3,"","","Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"29","MAT296H1","Independent Reading in Mathematics","Independent study under the direction of a faculty member. Topic must be outside undergraduate offerings. Workload equivalent to a 36L course. Not eligible for CR/NCR option. ",3,"","","Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"30","MAT297Y1","Research Project in Mathematics","Independent research under the direction of a faculty member. Similar workload to a 72L course. Not eligible for CR/NCR option. Completed applications for this course are due to the Math Undergraduate Program Office no later than the third day of the term that the reading course will start. ",6,"","","Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor","","",FALSE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"31","MAT299Y1","Research Opportunity Program","Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option. ",6,"","","","","",FALSE,FALSE,FALSE,FALSE,"","Science","In Class",""
"32","MAT301H1","Groups and Symmetries","Congruences and fields. Permutations and permutation groups. Linear groups. Abstract groups, homomorphisms, subgroups. Symmetry groups of regular polygons and Platonic solids, wallpaper groups. Group actions, class formula. Cosets, Lagrange theorem. Normal subgroups, quotient groups. Classification of finitely generated abelian groups. Emphasis on examples and calculations. ",3,"MAT347Y1","","MAT257Y1 or ( MAT224H1 or MAT247H1, MAT235Y1 or MAT237Y1, MAT246H1 or MAT157Y1 or CSC236H1 or CSC240H1) or (MAT185H1, MAT194H1, MAT195H1)","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"33","APM306Y1","Mathematics and Law","This course examines the relationship between legal reasoning and mathematical logic; provides a mathematical perspective on the legal treatment of interest and actuarial present value; critiques ethical issues; analyzes how search engine techniques on massive databases transform legal research and considers the impact of statistical analysis and game theory on litigation strategies. NOTE This course counts as 0.5 credit in BR=3 and 0.5 credit in BR=5. This course will only contribute 0.5 credit to the Math Minor program. ",6,"JUM206Y1","","( MAT135H1 or MAT135H5 or MAT136H1 or MAT136H5) or MAT137Y1 or MAT157Y1, MAT221H1 or MAT223H1 or MAT240H1","","72L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5), Society and its Institutions (3)","Science","In Class",""
"34","MAT309H1","Introduction to Mathematical Logic","Predicate calculus. Relationship between truth and provability; Gödel's completeness theorem. First order arithmetic as an example of a first-order system. Gödel's incompleteness theorem; outline of its proof. Introduction to recursive functions. ",3,"CSC438H1","","MAT257Y1 or [ MAT223H1 or MATA23H3 or MAT223H5 or MAT240H1 or MAT240H5, MAT235Y1 or MAT235Y5 or ( MAT232H5, MAT236H5) or ( MATB41H3, MATB42H3 or MATB43H3) or MAT237Y1 or MAT237Y5, MAT246H1 or MAT157Y1 or CSC236H1 or CSC240H1]","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"35","MAT315H1","Introduction to Number Theory","Elementary topics in number theory: arithmetic functions; polynomials over the residue classes modulo m, characters on the residue classes modulo m; quadratic reciprocity law, representation of numbers as sums of squares. ",3,"","","( MAT223H1 or MATA23H3 or MAT223H5 or MAT240H1 or MAT240H5, MAT235Y1 or MAT235Y5 or( MAT232H5, MAT236H5) or( MATB41H3, MATB42H3) or MAT237Y1 or( MATB41H3, MATB42H3, MATB43H3) or MAT237Y5, MAT246H1 or CSC236H1 or CSC240H1) or MAT157Y1 or MAT157Y5 or MAT247H1 or MAT247H5","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"36","MAT327H1","Introduction to Topology","Metric spaces, topological spaces and continuous mappings; separation, compactness, connectedness. Fundamental group and covering spaces. Brouwer fixed-point theorem. Students in the math specialist program wishing to take additional topology courses are advised to obtain permission to take MAT1300H, MAT1301H. ",3,"","","MAT157Y1 or MAT157Y5 or [( MAT237Y1 or( MATB41H3, MATB42H3 or MATB43H3) or MAT237Y5), MAT246H1]","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"37","MAT329Y1","Concepts in Elementary Mathematics","This course is aimed at students intending to become elementary school teachers. Emphasis is placed on the formation and development of fundamental reasoning and learning skills required to understand and to teach mathematics at the elementary level. Topics may include: Problem Solving and Strategies, Sets and Elementary Logic, Numbers and Elements of Number Theory, Introductory Probability and Fundamentals of Geometry. The course may include an optional practicum in school classrooms. ",6,"MAT382H5","","( MAT137Y1 or MAT157Y1) or MAT138H1 or( MAT223H1 or MAT240H1) or( MAT246H1 or MAT157Y1) and any 5.0 credits with a CGPA of at least 2.5","Participation in the practicum requires the presentation of an Ontario Police Report that declares suitability to work with minors and other special groups.","72L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"38","MAT332H1","Introduction to Graph Theory","This course will explore the following topics: Graphs, subgraphs, isomorphism, trees, connectivity, Euler and Hamiltonian properties, matchings, vertex and edge colourings, planarity, network flows and strongly regular graphs. Participants will be encouraged to use these topics and execute applications to such problems as timetabling, tournament scheduling, experimental design and finite geometries. ",3,"","","MAT224H1 or MATB24H3 or MAT224H5 or MAT247H1 or MAT247H5","Students are encouraged to take MAT301H1 or MAT347Y1 concurrently or prior to undertaking this course.","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"39","MAT334H1","Complex Variables","Theory of functions of one complex variable, analytic and meromorphic functions. Cauchy's theorem, residue calculus, conformal mappings, introduction to analytic continuation and harmonic functions. ",3,"MAT354H1","","MAT223H1 or MATA23H3 or MAT223H5 or MAT240H1 or MAT240H5, MAT235Y1 or MAT235Y5 or( MAT232H5, MAT236H5) or( MATB41H3, MATB42H3) or MAT237Y1 or( MATB41H3, MATB42H3, MATB43H3) or MAT237Y5 or MAT257Y1","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"40","MAT335H1","Chaos, Fractals and Dynamics","An elementary introduction to a modern and fast-developing area of mathematics. One-dimensional dynamics: iterations of quadratic polynomials. Dynamics of linear mappings, attractors. Bifurcation, Henon map, Mandelbrot and Julia sets. History and applications. ",3,"","","MAT137Y1 or( MATA30H3, MATA31H3, MATA37H3) or MAT137Y5 or MAT157Y1 or MAT157Y5 or MAT235Y1 or MAT235Y5 or( MAT232H5, MAT236H5) or( MATB41H3, MATB42H3) or MAT237Y1 or( MATB41H3, MATB42H3, MATB43H3) or MAT237Y5, MAT223H1 or MATA23H3 or MAT223H5 or MAT240H1 or MAT240H5","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"41","MAT336H1","Elements of Analysis","This course provides the foundations of analysis and rigorous calculus for students who will take subsequent courses where these mathematical concepts are central of applications, but who have only taken courses with limited proofs. Topics include topology of Rn, implicit and inverse function theorems and rigorous integration theory. ",3,"MAT257Y1 or MAT337H1","","MAT223H1 or MATA23H3 or MAT223H5 or MAT240H1 or MAT240H5, MAT235Y1 or MAT235Y5 or ( MAT232H5, MAT236H5) or ( MATB41H3, MATB42H3) or MAT237Y1 or ( MATB41H3, MATB42H3, MATB43H3) or MAT237Y5 or (MAT185H1, MAT195H1 or ESC195H1)","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"42","MAT337H1","Introduction to Real Analysis","Construction of Real Numbers. Metric spaces; compactness and connectedness. Sequences and series of functions, power series; modes of convergence. Interchange of limiting processes; differentiation of integrals. Function spaces; Weierstrass approximation; Fourier series. Contraction mappings; existence and uniqueness of solutions of ordinary differential equations. Countability; Cantor set; Hausdorff dimension. ",3,"MAT357H1 or MAT378H5","","MAT257Y1 or [ MAT224H1 or MATA24H3 or MAT224H5 or MAT247H1 or MAT247H5, MAT235Y1 or MAT235Y5 or ( MAT232H5, MAT236H5) or ( MATB41H3, MATB42H3 or MATB43H3) or MAT237Y1 or MAT237Y5, MAT246H1 or MAT157Y1]","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"43","MAT344H1","Introduction to Combinatorics","Basic counting principles, generating functions, permutations with restrictions. Fundamentals of graph theory with algorithms; applications (including network flows). Combinatorial structures including block designs and finite geometries. ",3,"","","MAT223H1 or MATA23H3 or MAT223H5 or MAT240H1 or MAT240H5","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"44","APM346H1","Partial Differential Equations","Sturm-Liouville problems, Green's functions, special functions (Bessel, Legendre), partial differential equations of second order, separation of variables, integral equations, Fourier transform, stationary phase method. ",3,"MAT351Y1","","MAT235Y1 or MAT235Y5 or ( MAT232H5, MAT236H5) or ( MATB41H3, MATB42H3) or MAT237Y1 or MAT237Y5 or MAT257Y1, ( MAT244H1 or MATB44H3 or MAT244H5 or MAT267H1)","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"45","MAT347Y1","Groups, Rings and Fields","Groups, subgroups, quotient groups, Sylow theorems, Jordan-Hölder theorem, finitely generated abelian groups, solvable groups. Rings, ideals, Chinese remainder theorem; Euclidean domains and principal ideal domains: unique factorization. Noetherian rings, Hilbert basis theorem. Finitely generated modules. Field extensions, algebraic closure, straight-edge and compass constructions. Galois theory, including insolvability of the quintic. ",6,"","","MAT257Y1 or(85% in MAT247H1 or MAT247H5)","","72L/24T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
