"","Course Code","Course Name","Course Description","Prerequisite","Antirequisite","Corequisite","Note","Other Information","Lecture","Lab","Test Slot","Tutorial","Project","Reading","Studio","Credit Amount"
"16","STAT 333","Stochastic Processes 1","This course provides an introduction to stochastic processes, with an emphasis on regenerative phenomena. Topics cover generating functions, conditional probability distributions and conditional expectation, discrete-time Markov chains with a countable state space, limit distributions for ergodic and absorbing chains, applications including the random walk, the gambler's ruin problem, and the Galton-Watson branching process, an introduction to counting processes, connections between the exponential distribution and Poisson process, and non-homogeneous and compound Poisson processes. [Offered: F,W,S]","Prereq: STAT 230 with a grade of at least 60% or STAT 240; MATH 237 or 247."," Antireq: STAT 334","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"17","STAT 334","Probability Models for Business and Accounting","Random variables and distribution theory, conditional expectations, moment and probability generating functions, change of variables, random walks, Markov chains, Markov processes. [Offered F,S]","Prereq: MATH 237 or 247, (STAT 230 with a grade of at least 60% or STAT 240); STAT 231 or 241; Business/Math double degree, Mathematics/CPA or Math/Business students only."," Antireq: STAT 330, 333","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"18","STAT 337","Introduction to Biostatistics","This course will provide an introduction to statistical methods in health research. Topics to be covered include types of medical data, measures of disease prevalence and incidence, age and sex adjustment of disease rates, sensitivity and specificity of diagnostic tests, ROC curves, measures of association between risk factors and disease, major sources of medical data in the Canadian context including surveys, registries, and clinical studies such as cohort studies, clinical trials and case-control studies. Papers from the medical literature will be used throughout to illustrate the concepts. Introduction to SAS for data analysis and an introduction to database management tools. [Offered: F]","Prereq: (STAT 221 with a grade of at least 60%) or STAT 231 or 241."," Antireq: HLTH 333, STAT 232","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"19","STAT 340","Stochastic Simulation Methods","Random variate generation in the univariate and multivariate case, Monte Carlo integration, advanced computer implementation, variance reduction, statistical analysis of simulated data, extensions to challenging simulation problems. Mathematical treatment of the underlying stochastic concepts and proofs. [Offered: W,S]","Prereq: (One of CS 116, 136, 138, 145, SYDE 221/322) and (STAT 230 with a grade of at least 60% or STAT 240) and (STAT 231 or 241)","","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"20","STAT 341","Computational Statistics and Data Analysis","A computationally focused approach to statistical reasoning in the context of real data. Functional programming in R and algorithms will be used to define interesting attributes of finite populations and their sampling characteristics. Computational approaches to inductive inference and the assessment of predictive accuracy. [Offered: F,W]","Prereq: MATH 237 or 247, (STAT 230 with a grade of at least 60% or STAT 240), STAT 231 or 241","","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"21","STAT 371","Applied Linear Models and Process Improvement for Business","Practical and theoretical aspects of simple and multiple linear regression models. Model building, fitting, and assessment. Process thinking and improvement. Strategies for variation reduction such as control charting. Process monitoring, control, and adjustment. Applications to problems in business. [Offered: F,W,S]","Prereq: (MATH 235 or 245) and (STAT 231 with a grade of at least 60% or STAT 241); Bus/Math dbl degree, Math/Bus, Math/FARM, Math/ITM, or Math Optimization - Business Spec students only."," Antireq: STAT 321, 331, 373","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"22","STAT 372","Survey Sampling and Experimental Design Techniques for Business","Design and analysis of surveys. Management of sample and non-sample error. Simple random sampling and stratified random sampling. Additional topics in survey sampling. Observational and experimental studies. Principles for the design of experiments. Analysis of variance, factorial experiments, and interaction. Application to problems in business. [Offered: F,W,S]","Prereq: STAT 231 with a grade of at least 60% or STAT 241; Business/Math Double Degree, Math/Business, Math/FARM, Math/ITM or Mathematical Optimization - Business Specialization students only."," Antireq: STAT 322, 332","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"23","STAT 373","Regression and Forecasting Methods in Finance","Application of regression and time series models in finance; multiple regression; algebraic and geometric representation of least squares; inference methods - confidence intervals and hypothesis tests, ANOVA, prediction; model building and assessment; time series modeling; autoregressive AR(1) models - fitting, assessment and prediction; moving average smoothing, seasonal adjustment; non-stationarity and differencing. [Offered: F]","Prereq: MATH 136, STAT 231 with a grade of 60% or STAT 241; Computing & Financial Management or Math/CPA students only."," Antireq: STAT 321, 331, 371, 443","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"24","STAT 430","Experimental Design","Review of experimental designs in a regression setting; analysis of variance; replication, balance, blocking, randomization, and interaction; one-way layout, two-way layout, and Latin square as special cases; factorial structure of treatments; covariates; treatment contrasts; two-level fractional factorial designs; fixed versus random effects; split-plot and repeated-measures designs; other topics. [Offered: F,S]","Prereq: (STAT 331 or 371) and (STAT 332 or 372)."," Antireq: (for Arts and Environmental Studies students) BIOL 461, PSYCH 391","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"25","STAT 431","Generalized Linear Models and their Applications","Review of the normal linear model and maximum likelihood estimation; regression models for binomial, Poisson and multinomial data; generalized linear models; and other topics in regression modelling. [Offered: F,W,S]","Prereq: STAT 330, (331 or 371)","","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"26","STAT 433","Stochastic Processes 2","This course provides further ideas and methods in stochastic modelling, with an emphasis on continuous-time stochastic processes. Topics cover time to absorption based quantities and discrete phase-type distributions of discrete-time Markov chains, continuous-time Markov chains with a countable state space, limit distributions for ergodic and absorbing chains, and applications including birth and death processes and queueing models of practical interest. Other topics may include continuous phase-type distributions, renewal theory and limit theorems for regenerative processes, and phase-type renewal processes. [Offered: F]","Prereq: STAT 333","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"27","STAT 435","Statistical Methods for Process Improvements","Statistical methods for improving processes based on observational data. Assessment of measurement systems. Strategies for variation reduction. Process monitoring, control, and adjustment. Clue generation techniques for determining the sources of variability. Variation transmission. [Offered: W]","Prereq: STAT 332 or 372","","","","Department Consent Required",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"28","STAT 436","Introduction to the Analysis of Spatial Data in Health Research","The objective of this course is to develop understanding and working knowledge of spatial models and analysis of spatial data. The course provides an introduction to the rudiments of statistical inference based on spatially correlated data. Methods of estimation and testing will be developed for geostatistical models based on variograms and spatial autogressive models. Concepts and application of methods will be emphasized through case studies and projects with health applications. [Offered: W]","Prereq: STAT 431","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"29","STAT 437","Statistical Methods for Life History Analysis","Statistical methods for the analysis of longitudinal data; hierarchical models, marginal models, and transitional models. Parametric and semiparametric methods for the analysis of survival data under censoring and truncation. [Offered: W]","Prereq: STAT 431","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"30","STAT 438","Advanced Methods in Biostatistics","Causal inference methodologies including propensity score matching and inverse probability weighting. Methods for handling incomplete data and covariate measurement error; likelihood based on joint models, estimating functions.","Prereq: STAT 431","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"31","STAT 440","Computational Inference","Introduction to and application of computational methods in statistical inference. Monte Carlo evaluation of statistical procedures, exploration of the likelihood function through graphical and optimization techniques. Topics include expectation-maximization, Bootstrapping, Markov Chain Monte Carlo, and other computationally intensive methods. [Offered: W,S]","Prereq: STAT 330, STAT 341","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"32","STAT 441","Statistical Learning - Classification","Classification is the problem of predicting a discrete outcome from a set of explanatory variables. Main topics include logistic regression, neural networks, tree-based methods, support vector machines, and nearest neighbour methods. Other topics include model assessment, training, and tuning. [Offered: F,W]","Prereq: STAT 341; STAT 331 or 371","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"33","STAT 442","Data Visualization","Visualization methods applied to data. Both human perception and statistical properties inform the methods used to display and visually explore categorical, continuous, time-ordered, map, and high dimensional data. Order and layout effects on tables and graphics. Statistical concepts visually presented include variability, densities, quantiles, conditioning, and hypothesis testing. Interactive graphics include linking, brushing, motion, and the navigation of high dimensional spaces guided via projection indices. Glyphs (e.g., cartoon, statistical, or heatmap) and radial and parallel coordinates. [Offered: F,W]","Prereq: STAT 341","","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"34","STAT 443","Forecasting","Modelling techniques for forecasting time series data: smoothing methods, regression including penalty/regularization methods, the Box-Jenkins framework, stationary and non-stationary processes, both with and without seasonal effects. Other topics may include: ARCH/GARCH models, Bayesian methods, dynamic linear models, Markov Chain Monte Carlo simulation, spectral density analysis, and periodograms. [Offered: F,W,S]","Prereq: STAT 331 or 371 or SYDE 334."," Antireq: STAT 321, 373","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"35","STAT 444","Statistical Learning - Advanced Regression","This course introduces modern applied regression methods for continuous response modelling, emphasizing both explainability and predictive power. Topics cover a wide selection of advanced methods useful to address the challenges arising from real-world and high-dimensional data; methods include robust regression, nonparametric regression such as smoothing splines, kernels, additive models, tree-based methods, boosting and bagging, and penalized linear regression methods such as the ridge regression, lasso, and their variants. Students will gain an appreciation of the mathematical and statistical concepts underlying the methods and also computational experience in applying the methods to real data. [Offered: W,S]","Prereq: STAT 341; STAT 331 or 371","","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"36","STAT 450","Estimation and Hypothesis Testing","Discussion of inference problems under the headings of hypothesis testing and point and interval estimation. Frequentist and Bayesian approaches to inference. Construction and evaluation of tests and estimators. Large sample theory of point estimation. [Offered: W]","Prereq: STAT 330","","",""," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"37","STAT 454","Sampling Theory and Practice","Sources of survey error. Probability sampling designs, estimation, and efficiency comparisons. Distribution theory and confidence intervals. Generalized regression estimation. Software for survey analysis. [Offered: W]","Prereq: STAT 332 or 372","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"38","STAT 464","Topics in Probability Theory","Special Topics course as announced by the Department.","Prereq: STAT 333","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"39","STAT 466","Topics in Statistics 1","Special topics course as announced by the Department.","Prereq: STAT 330, 331","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"40","STAT 467","Topics in Statistics 2","Special topics course as announced by the Department.","","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"41","STAT 468","Readings in Statistics 1","Reading course as announced by the Department.","","","",""," ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"0.50"
"42","STAT 469","Readings in Statistics 2","Reading course as announced by the Department.","","","",""," ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"0.50"
