"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"11","MATH 157","Calculus I for the Social Sciences","Designed for students specializing in business or the social sciences. Topics include: limits, growth rate and the derivative; logarithmic, exponential and trigonometric functions and their application to business, economics, optimization and approximation methods; introduction to functions of several variables with emphasis on partial derivatives and extrema.",3,"Students with credit for either MATH 150, 151 or 154 may not take MATH 157 for further credit.","","Prerequisite: Pre-Calculus 12 (or equivalent) with a grade of at least B, or MATH 100 with a grade of at least C, or achieving a satisfactory grade on the Simon Fraser University Calculus Readiness Test.","",TRUE,FALSE
"12","MATH 158","Calculus II for the Social Sciences","Designed for students specializing in business or the social sciences. Topics include: theory of integration, integration techniques, applications of integration; functions of several variables with emphasis on double and triple integrals and their applications; introduction to differential equations with emphasis on some special first-order equations and their applications; sequences and series.",3,"Students with credit for MATH 152 or 155 may not take MATH 158 for further credit.","","Prerequisite: MATH 150 or 151 or 154 or 157, with a minimum grade of C-.","",TRUE,FALSE
"13","MATH 160W","Mathematics in Action","Students take an active role in modeling mathematics of change through a guided, investigative, discovery-based approach of learning that mimics past and present research methods in mathematics. The course is divided into several modules, each of which centers around a major application in mathematics using calculus such as logistic growth (e.g. spread of diseases), optimization (e.g. cost effective oil pipe line routes), approximation (e.g. security system design), area calculation (e.g. tile design) and volume calculation (e.g. optimal ice cream cone) as well as a function review module and calculus history module. The history module allows students to gain a broad understanding of the developments of calculus and how this branch of mathematics helped to shape other branches of mathematics as well as the sciences. The instructional approach emphasizes conceptual understanding over rote drill and students write, present, and defend their mathematical discoveries. Writing/Quantitative/B-Sci.",3,"","","Prerequisite: Pre-Calculus 12 or Foundations of Mathematics 12 (or equivalent) with a grade of at least B, or MATH 100 with a grade of at least C- and SFU FAN credit.","",FALSE,FALSE
"14","MATH 178W","Fractals and Chaos","Introduction to fractal geometry and chaos theory, with a survey of applications of these topics in modern mathematics and in other areas outside of mathematics including music, art, computer graphics, finance, and the sciences. Designed to be accessible to students with only high school mathematics. Writing/Quantitative/B-Sci.",3,"","","Prerequisite: Pre-Calculus 12 or Foundations of Mathematics 12 (or equivalent) with a grade of at least B, or MATH 100 with a grade of at least C-.","",FALSE,FALSE
"15","MATH 190","Principles of Mathematics for Teachers","Designed for students pursuing a career as an elementary school teacher. Topics are drawn from number systems as well as plane, solid, and metric geometry. Examination of the historical and cultural development of mathematical ideas and their place in contemporary mathematics. Emphasis on deep understanding of mathematical concepts and on multiple representations: physical, pictorial, and symbolic. Detailed topics include: problem solving, bases, whole and fractional numbers and their arithmetic operations, number theory, ratios, rates, percent, polygons, polyhedra, symmetries, transformations, and measurements. This course may not be counted toward the Mathematics minor, major or honours degree requirements. Students who have taken, have received transfer credit for, or are currently taking MATH 150, 151, 154 or 157 may not take MATH 190 for credit without permission from the Department of Mathematics. Intended to be particularly accessible to students who are not specializing in mathematics.",4,"","","Prerequisite: Pre-Calculus 11 or Foundations of Mathematics 11 (or equivalent) with a grade of at least B, or SFU FAN X99 course with a grade of at least C, or achieving a satisfactory grade on the Simon Fraser University Quantitative Placement Test.","",TRUE,FALSE
"16","MATH 197","Hitchhiker's Guide to Everyday Math","Should you buy a ticket for 6/49 or Super 7? If you tested positive for a rare disease, what is the chance that you actually do have it? What are likely to be the consequences of moving to a single transferable voting system from a ""first past the post"" voting system? What is the connection between Chinese dragging noodles, E. coli bacteria and interest on your credit card? These are some of the questions we will be investigating in this course. We will also look into the use, misuse and abuse of mathematics in the media and advertisements. Students who have taken, have received transfer credit for, or are currently taking MATH 150, 151, 154 or 157 may not take MATH 197 for credit without permission from the Department of Mathematics. This course may not be counted toward the Mathematics minor, major or honours degree requirements.",3,"","","Prerequisite: Pre-Calculus 11 or Foundations of Mathematics 11 (or equivalent) with a grade of at least B, or SFU FAN X99 course with a grade of at least C, or achieving a satisfactory grade on the Simon Fraser University Quantitative Placement Test.","",TRUE,FALSE
"17","MATH 198","Introduction to Quantitative Reasoning","Designed specifically for students in the Integrated Studies programs to help them develop their abilities to interpret and reason with quantitative information. Topics covered include logical reasoning and problem solving, counting and probability, mathematics of finance, and linear and exponential modeling.",4,"","","Prerequisite: Pre-Calculus 11 or Foundations of Mathematics 11 (or equivalent) with a grade of at least B, or Simon Fraser University FAN X99 course with a grade of at least C, or achieving a satisfactory grade on the Simon Fraser University Quantitative Placement Test.","",TRUE,FALSE
"18","MATH 208W","Introduction to Operations Research","Introduction to methods of operations research: linear and nonlinear programming, simulation, and heuristic methods. Applications to transportation, assignment, scheduling, and game theory. Exposure to mathematical models of industry and technology. Emphasis on computation for analysis and simulation. Writing/",3,"Students with credit for MATH 208 may not take this course for further credit.","","Prerequisite: MATH 150 or 151 or 154 or 157, with a minimum grade of C-.","",TRUE,FALSE
"19","MATH 232","Applied Linear Algebra","Linear equations, matrices, determinants. Introduction to vector spaces and linear transformations and bases. Complex numbers. Eigenvalues and eigenvectors; diagonalization. Inner products and orthogonality; least squares problems. An emphasis on applications involving matrix and vector calculations.",3,"Students with credit for MATH 240 may not take this course for further credit.","","Prerequisite: MATH 150 or 151 or MACM 101, with a minimum grade of C-; or MATH 154 or 157, both with a grade of at least B.","",TRUE,FALSE
"20","MATH 240","Algebra I: Linear Algebra","Linear equations, matrices, determinants. Real and abstract vector spaces, subspaces and linear transformations; basis and change of basis. Complex numbers. Eigenvalues and eigenvectors; diagonalization. Inner products and orthogonality; least squares problems. Applications. Subject is presented with an abstract emphasis and includes proofs of the basic theorems.",3,"Students with credit for MATH 232 cannot take this course for further credit.","","Prerequisite: MATH 150 or 151 or MACM 101, with a minimum grade of C-; or MATH 154 or 157, both with a grade of at least B.","",TRUE,FALSE
"21","MATH 242","Introduction to Analysis I","Mathematical induction. Limits of real sequences and real functions. Continuity and its consequences. The mean value theorem. The fundamental theorem of calculus. Series.",3,"","","Prerequisite: MATH 152 with a minimum grade of C-; or MATH 155 or 158 with a grade of B.","",TRUE,FALSE
"22","MATH 251","Calculus III","Rectangular, cylindrical and spherical coordinates. Vectors, lines, planes, cylinders, quadric surfaces. Vector functions, curves, motion in space. Differential and integral calculus of several variables. Vector fields, line integrals, fundamental theorem for line integrals, Green's theorem. Recommended: It is recommended that MATH 240 or 232 be taken before or concurrently with MATH 251.",3,"","","Prerequisite: MATH 152 with a minimum grade of C-; or MATH 155 or MATH 158 with a grade of at least B.","",TRUE,FALSE
"23","MATH 252","Vector Calculus","Vector calculus, divergence, gradient and curl; line, surface and volume integrals; conservative fields, theorems of Gauss, Green and Stokes; general curvilinear coordinates and tensor notation. Introduction to orthogonality of functions, orthogonal polynomials and Fourier series. MATH 240 or 232 may be taken concurrently.",3,"Students with credit for MATH 254 may not take MATH 252 for further credit.","","Prerequisite: MATH 240 or 232, and 251, all with a minimum grade of C-.","",TRUE,FALSE
"24","MATH 254","Vector and Complex Analysis for Applied Sciences","Designed for students in the Engineering Science program. Combines a continuation of the study of vector calculus from MATH 251 with an introduction to functions of a complex variable. Vector functions of a single variable, space curves, scalar and vector fields, conservative fields, surface and volume integrals, and theorems of Gauss, Green and Stokes. Functions of a complex variable, differentiability, contour integrals, Cauchy's theorem. Taylor and Laurent expansion, method of residues, integral transform and conformal mapping. MATH 240 or 232 may be taken concurrently.",3,"Students with credit for MATH 322 or MATH 252 may not take this course for further credit.","","Prerequisite: MATH 240 or 232, and 251, all with a minimum grade of C-.","",TRUE,FALSE
"25","MATH 260","Introduction to Ordinary Differential Equations","First-order differential equations, second- and higher-order linear equations, series solutions, introduction to Laplace transform, systems and numerical methods, applications in the physical, biological and social sciences.",3,"Students with credit for MATH 310 may not take this course for further credit.","","Prerequisite: MATH 152 with a minimum grade of C-; or MATH 155 or 158, with a grade of at least B; MATH 232 or 240, with a minimum grade of C-.","",TRUE,FALSE
"26","MATH 291","Selected Topics in Mathematics","Topics will vary from term to term depending on faculty availability and student interest.",2,"","","Prerequisites will be specified according to the particular topic or topics offered.","",FALSE,FALSE
"27","MATH 292","Selected Topics in Mathematics","Topics will vary from term to term depending on faculty availability and student interest.",3,"","","Prerequisites will be specified according to the particular topic or topics offered.","",FALSE,FALSE
"28","MATH 301","Mathematical Journeys I","A focused exploration of a special topic (varying from term to term) that builds on mathematical ideas from lower division courses and provides further challenges in quantitative and deductive reasoning. Each Journeys course is designed to appeal particularly to mathematics minor students and others with a broad interest in mathematics. Students may repeat this course for further credit under a different topic. There may be additional prerequisites depending on the specific course topic.",3,"","","Prerequisite: MATH 152 or 155 or 158, and MATH 232 or 240, all with a minimum grade of C-.","",FALSE,FALSE
"29","MATH 302","Mathematical Journeys II","A focused exploration of a special topic (varying from term to term) that builds on mathematical ideas from lower division courses and provides further challenges in quantitative and deductive reasoning. Each Journeys course is designed to appeal particularly to mathematics minor students and others with a broad interest in mathematics. There may be additional prerequisites depending on the specific course topic.",3,"","","Prerequisite: MATH 152 or 155 or 158, and MATH 232 or 240, all with a minimum grade of C-.","",TRUE,FALSE
"30","MATH 303","Mathematical Journeys III","A focused exploration of a special topic (varying from term to term) that builds on mathematical ideas from lower division courses and provides further challenges in quantitative and deductive reasoning. Each Journeys course is designed to appeal particularly to mathematics minor students and others with a broad interest in mathematics. There may be additional prerequisites depending on the specific course topic.",3,"","","Prerequisite: MATH 152 or 155 or 158, and MATH 232 or 240, all with a minimum grade of C-.","",TRUE,FALSE
"31","MATH 304","Mathematical Journeys IV","A focused exploration of a special topic (varying from term to term) that builds on mathematical ideas from lower division courses and provides further challenges in quantitative and deductive reasoning. Each Journeys course is designed to appeal particularly to mathematics minor students and others with a broad interest in mathematics. There may be additional prerequisites depending on the specific course topic.",3,"","","Prerequisite: MATH 152 or 155 or 158, and MATH 232 or 240, all with a minimum grade of C-.","",TRUE,FALSE
"32","MATH 308","Linear Optimization","Linear programming modelling. The simplex method and its variants. Duality theory. Post-optimality analysis. Applications and software. Additional topics may include: game theory, network simplex algorithm, and convex sets.",3,"","","Prerequisite: MATH 150, 151, 154, or 157 and MATH 240 or 232, all with a minimum grade of C-.","",TRUE,FALSE
"33","MATH 309","Continuous Optimization","Theoretical and computational methods for investigating the minimum of a function of several real variables with and without inequality constraints. Applications to operations research, model fitting, and economic theory.",3,"","","Prerequisite: MATH 232 or 240, and 251, all with a minimum grade of C-.","",TRUE,FALSE
"34","MATH 314","Introduction to Fourier Methods and Partial Differential Equations","Fourier series, ODE boundary and eigenvalue problems. Separation of variables for the diffusion wave and Laplace/Poisson equations. Polar and spherical co-ordinate systems. Symbolic and numerical computing, and graphics for PDEs.",3,"","","Prerequisite: MATH 260 or MATH 310, with a minimum grade of C-; and one of MATH 251 with a grade of B+, or one of MATH 252 or 254, with a minimum grade of C-.","",TRUE,FALSE
"35","MATH 320","Introduction to Analysis II","Sequences and series of functions, topology of sets in Euclidean space, introduction to metric spaces, functions of several variables.",3,"","","Prerequisite: MATH 242 and 251, with a minimum grade of C-.","",TRUE,FALSE
"36","MATH 322","Complex Variables","Functions of a complex variable, differentiability, contour integrals, Cauchy's theorem, Taylor and Laurent expansions, method of residues.",3,"Students with credit for MATH 424 may not take this course for further credit.","","Prerequisite: MATH 251 with a minimum grade of C-.","",TRUE,FALSE
"37","MATH 336","Job Practicum I","This is the first term of work experience in a co-operative education program available to mathematics students. Interested students should contact departmental advisors as early in their careers as possible, for proper counselling. Units from this course do not count towards the units required for an SFU degree. They will normally be required to have completed 45 units with a GPA of 2.5. This course will be graded on a pass/withdraw basis. A course fee is required.",3,"","","Prerequisite: Students must apply to and receive permission from the co-op co-ordinator at least one, preferably two, terms in advance.","",FALSE,FALSE
"38","MATH 337","Job Practicum II","This is the second term of work experience in a co-operative education program available to mathematics students. Units from this course do not count towards the units required for an SFU degree. This course will be graded on a pass/withdraw basis. A course fee is required.",3,"","","Prerequisite: MATH 336 and permission of the co-op co-ordinator; students must apply at least one term in advance.","",FALSE,FALSE
"39","MATH 338","Advanced Linear Algebra","Linear Algebra. Vector space and matrix theory.",3,"Students with credit for MATH 438 may not take this course for further credit.","","Prerequisite: MATH 340 or 332, with a minimum grade of C- or permission of the instructor.","",TRUE,FALSE
"40","MATH 340","Algebra II: Rings and Fields","The integers, fundamental theorem of arithmetic. Equivalence relations, modular arithmetic. Univariate polynomials, unique factorization. Rings and fields. Units, zero divisors, integral domains. Ideals, ring homomorphisms. Quotient rings, the ring isomorphism theorem. Chinese remainder theorem. Euclidean, principal ideal, and unique factorization domains. Field extensions, minimal polynomials. Classification of finite fields.",3,"Students with credit for MATH 332 may not take this course for further credit.","","Prerequisite: MATH 240 with a minimum grade of C- or MATH 232 with a grade of at least B.","",TRUE,FALSE
"41","MATH 341","Algebra III: Groups","Finite groups and subgroups. Cyclic groups and permutation groups. Cosets, normal subgroups and factor groups. Homomorphisms and isomorphisms. Fundamental theorem of finite abelian groups. Sylow theorems.",3,"Students with credit for MATH 339 may not take this course for further credit.","","Prerequisite: MATH 340 or 342 or 332, with a minimum grade of C-.","",FALSE,FALSE
"42","MATH 342","Elementary Number Theory","The prime numbers, unique factorization, congruences and quadratic reciprocity. Topics include the RSA public key cryptosystem and the prime number theorem.",3,"","","Prerequisite: MATH 240 or 232, with a minimum grade of C-, and one additional 200-level MATH or MACM course.","",TRUE,FALSE
"43","MATH 343","Applied Discrete Mathematics","Structures and algorithms, generating elementary combinatorial objects, counting (integer partitions, set partitions, Catalan families), backtracking algorithms, branch and bound, heuristic search algorithms. Recommended: knowledge of a programming language.",3,"","","Prerequisite: MACM 201 (with a grade of at least B-).","",TRUE,FALSE
"44","MATH 345","Introduction to Graph Theory","Fundamental concepts, trees and distances, matchings and factors, connectivity and paths, network flows, integral flows.",3,"","","Prerequisite: MACM 201 (with a grade of at least B-).","",TRUE,FALSE
"45","MATH 348","Introduction to Probabilistic Models","Review of the basics of probability, including sample space, random variables, expectation and conditioning. Applications of Markov chains, the exponential distribution and the Poisson process from science and industry. Applications may include inventory theory, queuing, forecasting, scheduling and simulation.",3,"","","Prerequisite: STAT 270 and (MATH 232 or MATH 240), all with a minimum grade of C-.","",TRUE,FALSE
"46","MATH 360","Modeling with Ordinary Differential Equations","Formulation, analysis and simulation of continuous mathematical models. Applications may be selected from topics in physics, biology, engineering and economics.",3,"Students with credit for MATH 461 or MATH 761 may not complete this course for further credit.","","Prerequisite: MATH 251 and MATH 260, with a minimum grade of C-.","",TRUE,FALSE
"47","MATH 380W","History of Mathematics","Topics in the history of mathematics from ancient times to the present. Writing/",3,"","","Prerequisite: MATH 152, MATH 155 or MATH 158, with a minimum grade of C- and at least six units from MATH at the 200-division or above (includes STAT 270).","",TRUE,FALSE
"48","MATH 381W","Mathematics Undergraduate Seminar","A writing and presentation-intensive study of an area of mathematics. Students will read and prepare written and oral comments on material in the mathematics literature. Writing/",3,"","","Prerequisite: Six units of mathematics at the 200-division or higher.","",TRUE,FALSE
"49","MATH 396","Selected Topics in Mathematics","Topics in areas of mathematics not covered in the regular undergraduate curriculum of the department.",3,"","","Prerequisites will be specified according to the particular topic or topics covered.","",FALSE,FALSE
"50","MATH 397","Selected Topics in Mathematics","Topics in areas of mathematics not covered in the regular undergraduate curriculum of the department.",3,"","","Prerequisites will be specified according to the particular topic or topics covered.","",FALSE,FALSE
"51","MATH 398","Selected Topics in Mathematics","Topics in areas of mathematics not covered in the regular undergraduate curriculum of the department.",3,"","","Prerequisites will be specified according to the particular topic or topics offered.","",FALSE,FALSE
"52","MATH 402W","Operations Research Clinic","Problems from operations research will be presented and discussed in class. Students will also work on a problem of their choice and present their solution in report form as well as a presentation. Writing/",4,"","","Prerequisite: MATH 308 with a minimum grade of C-.","",TRUE,FALSE
"53","MATH 408","Discrete Optimization","Model building using integer variables, computer solution, relaxations and lower bounds, heuristics and upper bounds, branch and bound algorithms, cutting plane algorithms, valid inequalities and facets, branch and cut algorithms, Lagrangian duality, column generation of algorithms, heuristics algorithms and analysis.",3,"","","Prerequisite: MATH 308 with a minimum grade of C-.","",TRUE,FALSE
"54","MATH 418","Partial Differential Equations","First-order linear equations, the method of characteristics. The wave equation. Harmonic functions, the maximum principle, Green's functions. The heat equation. Distributions and transforms. Higher dimensional eigenvalue problems. An introduction to nonlinear equations. Burgers' equation and shock waves. An alternative to the above prerequisite is both of (MATH 252 or MATH 254) and (MATH 260 or MATH 310), both with grades of at least A-.",3,"","","Prerequisite: (MATH 260 or MATH 310) and one of MATH 314, MATH 320, MATH 322, PHYS 384, all with a minimum grade of C-.","",TRUE,FALSE
"55","MATH 419","Linear Analysis","Convergence in Euclidean spaces, Fourier series and their convergence, Legendre polynomials, Hermite and Laguerre polynomials.",3,"Students with credit for MATH 420 or MATH 719 may not complete this course for further credit.","","Prerequisite: MATH 232 or 240 and one of MATH 314, 320, 322, PHYS 384, all with a minimum grade of C-.","",TRUE,FALSE
"56","MATH 424","Complex Analysis","Conformal mapping, Cauchy Integral Formula, Analytic Continuation, Riemann Mapping Theorem, Argument Principle.",3,"","","Prerequisite: MATH 320 and either MATH 322 or 254, all with a minimum grade of C- or permission of the instructor.","",TRUE,FALSE
"57","MATH 425","Real Analysis","Metric spaces, normed vector spaces, measure and integration, an introduction to functional analysis.",3,"","","Prerequisite: MATH 320 with a minimum grade of C-.","",TRUE,FALSE
"58","MATH 426","Probability","An introduction to probability from the rigorous point of view. Random variables. Generating functions. Convergence of random variables. The strong law of large numbers and the central limit theorem. Stochastic processes. Stationary process and martingales.",3,"","","Prerequisite: MATH 242 and (MATH 348 or STAT 380), all with a minimum grade of C-.","",FALSE,FALSE
"59","MATH 436","Job Practicum III","This is the third term of work experience in a co-operative education program available to mathematics students. Units from this course do not count towards the units required for an SFU degree. This course will be graded on a pass/withdraw basis. A course fee is required.",3,"","","Prerequisite: MATH 337 and permission of the co-op co-ordinator; students must apply at least one term in advance.","",FALSE,FALSE
"60","MATH 437","Job Practicum IV","This is the fourth term of work experience in a co-operative education program available to mathematics students. Units from this course do not count towards the units required for an SFU degree. This course will be graded on a pass/withdraw basis. A course fee is required.",3,"","","Prerequisite: MATH 436 and permission of the co-op co-ordinator; students must apply at least one term in advance.","",FALSE,FALSE
"61","MATH 439","Selected Topics in Algebra","Topics in advanced algebra not covered by other courses.",3,"","","Prerequisite: MATH 338 or 340 or 332, with a minimum of C-, according to the particular topic or topics offered.","",FALSE,FALSE
"62","MATH 440","Galois Theory","An introduction to the theory of fields, with emphasis on Galois theory.",3,"","","Prerequisite: MATH 340 or 332, with a minimum grade of C-.","",TRUE,FALSE
"63","MATH 441","Commutative Algebra and Algebraic Geometry","A study of ideals and varieties. Topics include affine varieties, ideals, Groebner bases, the Hilbert basis theorem, resultants and elimination, Hilbert's Nullstellensatz, irreducible varieties and prime ideals, decomposition of varieties, polynomial mappings, quotient rings, projective space and projective varieties. Students who have taken this course as MATH 439 Special Topics may not complete this course for further credit.",3,"","","Prerequisite: MATH 340 with a minimum grade of C-.","",FALSE,FALSE
"64","MATH 443","Combinatorial Theory","Design theory: Steiner triple systems, balanced incomplete block designs, latin squares, finite geometries. Enumeration: generating functions. Burnside's Lemma, Polya counting.",3,"","","Prerequisite: MATH 340 or 332, with a minimum grade of C- and MACM 201 with a grade of at least B-.","",TRUE,FALSE
"65","MATH 445","Graph Theory","Graph coloring, Hamiltonian graphs, planar graphs, random graphs, Ramsey theory, extremal problems, additional topics.",3,"","","Prerequisite: MATH 345 with a minimum grade of C-.","",TRUE,FALSE
"66","MATH 447","Coding Theory","An introduction to the theory and practice of error-correcting codes. Topics will include finite fields, polynomial rings, linear and non-linear codes, BCH codes, convolutional codes, majority logic decoding, weight distribution of codes, and bounds on the size of codes.",3,"","","Prerequisite: MATH 340 or 332, with a minimum grade of C-.","",TRUE,FALSE
"67","MATH 448","Network Flows","Applications of network flow models; flow decomposition; polynomial algorithms for shortest paths, maximum flows and minimum costs flows; convex cost flows; generalized flows, multi-commodity flows. Recommended: MATH 345.",3,"","","Prerequisite: MATH 308 with a minimum grade of C-.","",TRUE,FALSE
"68","MATH 450","Introduction to Topology","Point set topology: definition, continuous maps, homeomorphisms, product and quotient topologies, Hausdorff topologies, connectedness, compactness and compactifications. Algebraic topology: paths, homotopies, fundamental group, universal covering spaces.",3,"","","Prerequisite: MATH 242 and MATH 340, with a minimum grade of C-.","",FALSE,FALSE
"69","MATH 462","Fluid Dynamics","Incompressible fluid flow phenomena: kinematics and equations of motion, viscous flow and boundary layer theory, potential flow, water waves. Aerodynamics. An alternative to the above prerequisite is both of MATH 251 and (MATH 260 or MATH 310), both with grades of at least B+.",3,"","","Prerequisite: One of MATH 314, MATH 418, PHYS 384, with a minimum grade of C-.","",TRUE,FALSE
"70","MATH 467","Dynamical Systems","Stability and bifurcation in continuous and discrete dynamical systems, with applications. The study of the local and global behaviour of linear and nonlinear systems, including equilibria and periodic orbits, phase plane analysis, conservative systems, limit cycles, the Poincare-Bendixson theorem, Hopf bifurcation and an introduction to chaos.",3,"","","Prerequisite: MATH 310 with a minimum grade of C-.","",TRUE,FALSE
"71","MATH 470","Variational Calculus","Procedures of Euler, Lagrange and Hamilton. Extremum problems, stationary values of integrals. Canonical equations of motion, phase space, Lagrangian and Poisson brackets. An alternative to the above prerequisite is both of MATH 254 and MATH 310, both with grades of at least A-.",3,"","","Prerequisite: MATH 310 and one of MATH 314, 320, 322, PHYS 384, all with a minimum grade of C-.","",TRUE,FALSE
"72","MATH 475","Mathematical Topics in Data Science","An exploration of the mathematics of data science. Analysis of the foundations of algorithms currently used in the field. Potential topics to be covered include: machine learning, compressed sensing, clustering, randomized numerical linear algebra, complex networks and random graph models. Students may repeat this course for further credit under a different topic.",3,"","","Prerequisite: MATH 242, MATH 240 or MATH 232 and STAT 270, all with a minimum grade of C-.","",FALSE,FALSE
