"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"17","BUS 272","Behaviour in Organizations","Theories, concepts and issues in the field of organizational behaviour with an emphasis on individual and team processes. Core topics include employee motivation and performance, stress management, communication, work perceptions and attitudes, decision-making, team dynamics, employee involvement and conflict management.",3,"","","Prerequisite: 12 units.","",FALSE,FALSE
"18","BUS 275","Business in a Sustainable Society","Businesses and business leaders have a key role to play in supporting a sustainable future. In this course, we examine what it means to be a responsible business and how businesses can do their part to be a catalyst for system-level change. We will also consider our own roles in supporting the necessary transition to a more regenerative and reconciled economy.",3,"","","Prerequisite: 12 units.","",FALSE,FALSE
"19","BUS 291","Selected Topics in Business Administration","The subject matter will vary from term to term depending upon the interest of faculty and students. Students may repeat this course for further credit under a different topic.",3,"","","Prerequisite: As stated by the faculty at the time of offering; 12 units.","",FALSE,FALSE
"20","BUS 292","Selected Topics in Business Administration","The subject matter will vary from term to term depending upon the interest of faculty and students. Students may repeat this course for further credit under a different topic.",3,"","","Prerequisite: As stated by the faculty at the time of offering; 12 units.","",FALSE,FALSE
"21","BUS 300","Professional Development - Planning","Students will develop an academic plan by expanding their understanding of the relationship between business courses and the themes of Social Responsibility, Innovation and Global Perspective.",1,"","","Prerequisite: BUS 100, BUS 217W, both with a minimum grade of C-; 45 units.","",FALSE,FALSE
"22","BUS 303","Business, Society and Ethics","Examines the context of business in society and the paradigms, frameworks, and theories that shape how we think about business ethics and make ethical decisions. Incorporates recent cross-disciplinary research in the development of reflective practice, moral literacy, and decision-making under conditions of uncertainty, ambiguity, complexity, and diverse competing interests.",3,"Students with credit for BUS 103, COMM 103, or COMM 303 may not take this course for further credit.","","Prerequisite: 45 units.","",FALSE,FALSE
"23","BUS 307","Business Applications of Game Theory","Game theory is the systematic study of the strategic interactions between economic entities. This course introduces students to the basic concepts of game theory in strategic decision making in a business setting. Games with increasing complexity will be analyzed, with the emphasis on developing a student's ability to think analytically and recognize strategic interactions in strategic management scenarios.",3,"Students with credit for BUS 470 may not take this course for further credit.","","Prerequisite: 45 units; BUS 207 or ECON 201, with a minimum grade of C-.","",FALSE,FALSE
"24","BUS 311","Introduction to Managerial Accounting and Financial Management","Builds on fundamental concepts introduced in financial accounting and examines a variety of tools and techniques used by managers to operate a business. Introduces the principles, concepts, and techniques of financial management, with an emphasis on financial managers, financial markets, and investment decisions.",4,"","","Prerequisite: This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have credit for BUS 251 with a minimum grade of C- and 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have credit for BUS 251 with a minimum grade of C-, 45 units, and corequisite: BUS 200.","",FALSE,FALSE
"25","BUS 312","Introduction to Finance","Role and function of financial managers, financial analysis, compound interest valuation and capital budgeting, management of current assets, introduction to financial instruments and institutions. Recommended: BUS 207, ECON 201, or ECON 301.",3,"","","Prerequisite: BUS 254 (or 324) with a minimum grade of C-; 45 units.","",TRUE,FALSE
"26","BUS 314","Resourcing New Ventures","Start-up and early-stage ventures have particular financial challenges associated with the uncertain and unproven nature of the project. This course analyzes how entrepreneurs and their financial backers can spot, create and manage value. Topics covered include opportunity recognition, cash flow forecasting, valuation methodologies, financial contracts, and careful negotiations. Various sources are considered for start-up capital (private debt, angel financiers, venture capitalists, development banks), and different strategies are considered for harvesting or exiting (initial public offerings, merger, acquisition, leveraged buy-out, shut down) a venture.",3,"","","Prerequisite: BUS 238 or BUS 254, with a minimum grade of C-; 45 units.","",FALSE,FALSE
"27","BUS 315","Investments","Investments from an individual and institutional point of view. Topics include: bond valuation and the term structure of interest rates, stock valuation, portfolio theory, asset pricing models, efficient markets and portfolio performance evaluation.",3,"","","Prerequisite: BUS 312, BUS 336 and BUS 207 or ECON 201 or ECON 301, all with a minimum grade of C-; 45 units.","",TRUE,FALSE
"28","BUS 316","Derivative Securities","The role derivative securities, mainly options and futures contracts, in controlling risk and enhancing profit opportunities. Valuation of derivative securities. The organization of options and futures markets and the mechanics of trading.",3,"","","Prerequisite: BUS 312, 336, both with a minimum grade of C-; 45 units.","",TRUE,FALSE
"29","BUS 318","Management of Equity and Fixed Income Investments","The selection and management of stocks and bonds within a portfolio. Using practices consistent with those of institutional investors, students will research possible investments and make decisions about investing such that benchmarks are met or exceeded. Emphasis will be placed on ethics, investment policy and socially responsible investing. This course is only open to students selected for the BEAM program. Students who have taken BUS 395 when the subject of the course was Asset Management may not take this course for further credit. This course does not count towards the Finance Concentration.",3,"","","Prerequisite: BUS 312 with a minimum grade of C-, 45 units, and permission of the instructor.","",FALSE,FALSE
"30","BUS 320","Financial Accounting: Assets","In-depth coverage of the accounting methods, problems and limitations associated with assets. Alternative valuation bases will be emphasized and illustrated together with the impact on income. Integration of theory and practice in relation to the treatment of assets.",3,"Students with credit for COMM 320 may not take this course for further credit.","","Prerequisite: BUS 254 with a minimum grade of C-; 45 units.","",TRUE,FALSE
"31","BUS 321","Financial Accounting: Equities","In-depth coverage of accounting, methods, problems, and limitations, associated with liabilities and owners' equity.",3,"Students with credit for COMM 321 may not take this course for further credit.","","Prerequisite: BUS 320 with a minimum grade of C-; 45 units.","",TRUE,FALSE
"32","BUS 322","Intermediate Managerial Accounting","In-depth examination of important managerial accounting topics introduced in BUS 254 (e.g., transfer pricing, variance analysis) and more advanced topics (e.g., decision making under uncertainty, the value of information), focusing on providing the tools and techniques needed for the generation, analysis and dissemination of management accounting information necessary for making strategic business decisions. The course will also introduce and develop the case approach in order to prepare students for BUS 424.",3,"","","Prerequisite: BUS 254 with a minimum grade of C-, 45 units.","",FALSE,FALSE
"33","BUS 325","Co-op Practicum II","This is the second term of work experience for students in the Co-operative Education Program. It provides an opportunity to integrate theory and practice. This course is open only to co-op students. The co-op program co-ordinator must be contacted at the beginning of the term prior to enrollment for this course. Units for this course do not count towards the units required for an SFU degree.",3,"","","","",FALSE,FALSE
"34","BUS 326","Co-op Practicum III","This is the third term of work experience for students in the Co-operative Education Program. It provides an opportunity to integrate theory and practice. This course is open only to co-op students. The co-op program co-ordinator must be contacted at the beginning of the term prior to enrollment for this course. Units for this course do not count towards the units required for an SFU degree.",3,"","","","",FALSE,FALSE
"35","BUS 327","Co-op Practicum IV","This is the fourth term of work experience for students in the Co-operative Education Program. It provides an opportunity to integrate theory and practice. This course is open only to co-op students. The co-op program co-ordinator must be contacted at the beginning of the term prior to enrollment for this course. Units for this course do not count towards the units required for an SFU degree.",3,"","","","",FALSE,FALSE
"36","BUS 330","Income Taxation for Individuals","Basic knowledge of the underlying principles and concepts of the Canadian Income Tax Act and the application of its rules to practical situations. It also examines the general income tax planning principles and equip students with the ability to identify tax planning opportunities for individuals. Students who have taken BUS 329 first may not then take this course for further credit.",3,"","Corequisite: BUS 320, 45 units.","","",FALSE,FALSE
"37","BUS 331","Corporate Taxation","Students will examine the taxation of corporations, corporate distributions, and transactions between corporations and their shareholders. Topics include an in-depth coverage of taxable capital gains; deferred income plans; and the taxation of corporate entities, partnerships, trusts and corporate reorganizations.",3,"","","Prerequisite: BUS 330 (or BUS 329) with a minimum grade of C-, 45 units.","",FALSE,FALSE
"38","BUS 336","Data Analytics and Visualization","Investigate data analytics, visualization, and modeling approaches relevant to business decisions. The course will investigate three important pillars of analytics including decision analytics, predictive analytics, and data visualization.",3,"","","Prerequisite: MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; BUS 232, ECON 233, or STAT 270, with a minimum grade of C-; 45 units.","",TRUE,FALSE
"39","BUS 338","Foundations of Innovation","An introduction to the theory and practice of the management of technological innovation. The external environment for technological innovation is examined through investigation of national and regional systems of innovation. The internal firm capabilities for creating and sustaining innovative firms are explored in detail, from the creation of ideas through to the commercialization of new products and services. Proficiency is gained in identifying sources of innovative value, implementing processes to capture it, and creating strategies for commercialization.",3,"","","Prerequisite: BUS 238 or BUS 254, with a minimum grade of C-; 45 units.","",FALSE,FALSE
"40","BUS 339","Make Change Studio II - Iteration and Prototyping","Students work in small teams to rapidly and repeatedly conceive a new business, produce its first prototype product or service and test that product or service with potential business customers. Through several such iterations, students learn practical business planning, the importance of people, context and technology and effective teamwork skills.",4,"","","Prerequisite: BUS 238, IAT 330, both with a minimum grade of C-, 45 units; or permission from the instructor.","",FALSE,FALSE
"41","BUS 340","International Business Strategy","Identifies how Multinational Enterprises (MNEs) formulate strategies and what organizational capabilities are needed to support these strategies in order to produce international competitive advantages. Students will study the criteria for assessing strategic and organizational capabilities of MNEs to determine solutions for increasing organizational performance.",4,"","","Prerequisite: This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200.","",FALSE,FALSE
"42","BUS 341","Fundamentals of Marketing","Provides an introduction to the field and practice of marketing. Takes an expansive approach and addresses how people, ideas, organizations, and places, as well as more conventional products/services, are marketed. The course goes beyond theory and challenges students to apply these concepts to real world situations.",4,"Students with credit for BUS 343 may not take BUS 341 for further credit.","","Prerequisite: This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200.","",FALSE,FALSE
"43","BUS 343","Introduction to Marketing","The environment of marketing; relation of social sciences to marketing; evaluation of marketing theory and research; assessment of demand, consumer behaviour analysis; market institutions; method and mechanics of distribution in domestic, foreign and overseas markets; sales organization; advertising; new product development, publicity and promotion; marketing programs.",3,"Students with credit for COMM 343 may not take this course for further credit.","","Prerequisite: 45 units.","",FALSE,FALSE
"44","BUS 345","Marketing Research","A course in the management of marketing research. The basics of the design, conduct, and analysis of marketing research studies.",3,"Students with credit for BUS 442 may not complete this course for further credit.","","Prerequisite: BUS 343, 336, both with a minimum grade of C-; 45 units; OR Data Science majors with BUS 343 with a minimum grade of C- and 45 units.","",FALSE,FALSE
"45","BUS 346","Global Business Environment","Study of international environment and its impact on business behaviour: cultural, social, economic and institutional factors; major functions of international business; export and import trade, foreign investment, production and marketing operations; theoretical principles, government policies, business practices.",3,"Students with credit for COMM 346 or COMM 446 may not take this course for further credit.","","Prerequisite: 45 units.","",FALSE,FALSE
"46","BUS 347","Consumer Behaviour","A study of the manner in which decisions are made in the market place, by both the ultimate consumer and the industrial buyer. Course will include consideration of consumer decision processes, individual and group influences and special cases such as brand loyalty and consumerism.",3,"Students with credit for COMM 347 may not take this course for further credit.","","Prerequisite: BUS 343 with a minimum grade of C-; 45 units.","",FALSE,FALSE
"47","BUS 360W","Business Communication","Helps students develop professional writing- and speaking-based communication strategies they can confidently adapt to a wide range of business situations. The course aims to raise their communication performance to a professionally acceptable level, rather than to memorize or theorize about communication knowledge: this is a “learn-by-doing” course. Students will improve their ability to conceptualize, analyze/evaluate, synthesize, and apply information to guide their thinking and finished products across various business contexts. As teamwork is a fundamental skill valued by employers, students will participate in a major team project to learn about and apply best practices for collaboration with respect to professional business communication. The primary means of instruction and learning is guided practice in both writing and presenting in response to realistic business contexts. Instruction and assessment focus on both the process of creating professional, finished products, as well as the quality of those products. Students who have taken BUS 360 may not take this course for further credit.",4,"","Corequisite: BUS 300, OR to business administration joint major or joint honours students with BUS 217W with a minimum grade of C- and 45 units, OR to business and economics joint major students with ECON 220W with a minimum grade of C- and 45 units, OR to mechatronic systems engineering and business administration double degree students with 45 units, OR to management systems science or actuarial science majors with 45 units OR to data science major with BUS 217W with a minimum grade of C- and 45 units.","Prerequisite: This course is open to students admitted prior to Fall 2014 to the business administration major, honours, or second degree program and who have 45 units, OR to students admitted Fall 2014 - Summer 2017 to the business administration major, honours, or second degree program and who have 45 units and BUS 130 or (BUS 201 or BUS 202) or BUS 301, with a minimum grade of C-, OR to students admitted Fall 2017 – Summer 2022 to the business administration major, honours, or second degree program and who have 45 units and BUS 130 or (BUS 201 or BUS 202) or BUS 301, and BUS 217W, both with a minimum grade of C-, OR to students admitted Fall 2022 onwards to the business administration major, honours, or second degree program, and who have 45 units; BUS 217W and (BUS 201 or BUS 202), both with a minimum grade of C-; and Corequisite: BUS 300, OR to business administration joint major or joint honours students with BUS 217W with a minimum grade of C- and 45 units, OR to business and economics joint major students with ECON 220W with a minimum grade of C- and 45 units, OR to mechatronic systems engineering and business administration double degree students with 45 units, OR to management systems science or actuarial science majors with 45 units OR to data science major with BUS 217W with a minimum grade of C- and 45 units.","",FALSE,TRUE
"48","BUS 361","Project Management","Introduction to the hard and soft skills of project management. Management software and techniques such as work breakdown, estimation, budgeting and status reporting are used. Applies structured processes and develops team-based skills and knowledge. Assumes no prior computing or technical knowledge.",3,"","","Prerequisite: 45 units.","",FALSE,FALSE
"49","BUS 362","Business Process Analysis","Prepares students to model, analyze and propose improvements to business processes. In the major project, students analyze a process within an organization and use current techniques and tools to propose changes and a supporting information system.",4,"Students with credit for BUS 394 may not take this course for further credit.","","Prerequisite: BUS 237 with a minimum grade of C-; 45 units; OR Data Science majors with 45 units.","",FALSE,FALSE
"50","BUS 371","Critical Thinking Through Business Case Analysis","Critical thinking is the intellectually disciplined process of actively and skillfully conceptualizing, applying, analyzing, synthesizing, and/or evaluating information gathered from, or generated by, observation, experience, reflection, reasoning, or communication, as a guide to belief and action. This course builds on the critical thinking process introduced in BUS 217W and explores its use in solving business problems.",3,"","","Prerequisite: 45 units; BUS 217W with a minimum grade of C-.","",FALSE,FALSE
"51","BUS 373","Operations and Supply Chain Management","Operations and Supply Chain Management (OSCM) examines business processes and improves them for long-term sustainability. Large-scale globalization and shortened product life cycles make successful OSCM even more critical for the survival of any company. In this course, we will examine the role of OSCM for organizations through qualitative and quantitative managerial tools.",3,"","","Prerequisite: BUS 232 with a minimum grade of C-; 45 units.","",FALSE,FALSE
"52","BUS 374","Organization Theory","This course will examine theories of organization which use the organization as a basic unit of analysis. It will show how the structure and internal processes of an organization are linked to and partially determined by forces in the external environment of the organization. Contextual factors such as the technology and corporate strategy of the organization will also be examined.",3,"","","Prerequisite: 45 units; BUS 272 (or 372) with a minimum grade of C-.","",FALSE,FALSE
"53","BUS 381","Introduction to Human Resource Management","Subjects include human resource planning, job analysis and design, recruitment, employment equity, selection and placement, performance appraisal, compensation and benefits, training and development, occupational health and safety, and industrial relations. For each subject an overview of current Canadian issues and practices is presented.",3,"","","Prerequisite: BUS 272 (or 372) with a minimum grade of C-; 45 units.","",FALSE,FALSE
"54","BUS 393","Commercial Law","Common law, equity, and statute law; contracts, agency, and negotiable instruments; partnership and corporation law; international commercial law. BUEC 391 is not to be taken concurrently with BUS 393.",3,"Students with credit for COMM 393 may not take this course for further credit.","","Prerequisite: 45 units.","",FALSE,FALSE
"55","BUS 394","Selected Topics in Business Administration","The subject matter will vary from term to term depending upon the interest of faculty and students.",3,"","","Prerequisite: As stated by the faculty at the time of offering; 45 units.","",FALSE,FALSE
"56","BUS 395","Selected Topics in Business Administration","The subject matter will vary from term to term depending upon the interest of faculty and students.",3,"","","Prerequisite: As stated by the faculty at the time of offering; 45 units.","",FALSE,FALSE
"57","BUS 396","Directed Studies","Independent reading and research on topics selected in consultation with the supervising instructor. Variable units 1, 2, 3, 4, 5.",3,"","","Prerequisite: 45 units.","",FALSE,FALSE
"58","BUS 401","Developing Organizational Opportunities","Organizational opportunities exist in social and commercial contexts at organizational and individual levels. Through intensive experiential learning, students will experience firsthand the challenges involved in the discovery, evaluation and implementation of activating opportunities. The course is only open to students in the business minor program.",4,"","","Prerequisite: BUS 311 (or BUS 254 and BUS 312), BUS 340, BUS 341, all with a minimum grade of C-; 60 units.","",FALSE,FALSE
"59","BUS 404","Technology Entrepreneurship I","Business students within the technology entrepreneurship@SFU program will work in cross-disciplinary teams of MSE and BUS students to develop their capstone projects, which will focus on an entrepreneurial initiative. Teams convene and receive guidance, mentorship and content support to assist in project execution. This course may not be applied toward the bachelor of business administration's requirements of three 400-division BUS or BUEC courses.",1,"Students with credit for MSE 403 cannot take BUS 404 for further credit.","Corequisite: BUS 477.","Prerequisite: Instructor permission, following acceptance into the technology entrepreneurship@SFU program; BUS 360W (or successful completion of an upper division Writing (W) course) with a minimum grade of C-.","",FALSE,FALSE
"60","BUS 405","Technology Entrepreneurship II","Business students within the technology entrepreneurship@SFU program will work in cross-disciplinary teams of MSE and BUS students to develop their capstone projects, which will focus on an entrepreneurial initiative. Teams convene and receive guidance, mentorship and content support to assist in project execution. This is the final phase of the project. This course may not be applied toward the three 400-division BUS or BUEC course requirement in the bachelor of business administration.",1,"Students with credit for MSE 404 cannot take BUS 405 for further credit.","Corequisite: BUS 406.","Prerequisite: Instructor permission, following acceptance into the technology entrepreneurship @SFU program; BUS 360W (or successful completion of an upper division Writing (W) course) and BUS 404 and BUS 477, all with a minimum grade of C-.","",FALSE,FALSE
"61","BUS 406","Startup Accelerator","Entrepreneurial ideas undergo a transition from being a concept within a classroom to being able to survive as a commercially viable enterprise. Intensive coaching and mentoring through sector-specific mentors and organizations will provide students with experience in market validation, pitching and business planning as ventures move to incubators, accelerators, or sustainable operations.",3,"Students with credit for a Selected Topics in Business Administration, when offered as New Venture Accelerator, may not complete this course for further credit.","","Prerequisite: Instructor permission; 60 units; BUS 360W (or successful completion of an upper division Writing (W) course) with a minimum grade of C-.","",FALSE,FALSE
"62","BUS 410","Financial Institutions","An examination of financial institutions and the markets in which they operate. Topics may include: institutional structure, financial contract forms, valuation and pricing relationships, financial intermediation, financial transacting, the regulatory environment, risk measurement and hedging strategies.",3,"","","Prerequisite: BUS 315, 316, 360W, all with a minimum grade of C-; 60 units.","",FALSE,FALSE
"63","BUS 411","Fixed Income Security Analysis and Valuation","As an introduction to the market valuation of fixed income securities, this course covers: history of fixed income securities; valuation methods for fixed income securities, including fixed and variable annuities, government and corporate bonds, defined benefit pension plans, bonds with contingencies, fixed income derivative securities; and, fixed income risk management using duration and convexity measures.",3,"","","Prerequisite: BUS 315 and BUS 360, both with a minimum grade of C-; 60 units.","",FALSE,FALSE
"64","BUS 413","Corporate Finance","Corporate decisions in the context of financial markets. Topics include: real asset investments, financing alternatives, dividend policy, working capital management, and corporate securities valuation.",3,"","","Prerequisite: BUS 315, 316, 360W, all with a minimum grade of C-; 60 units.","",FALSE,FALSE
"65","BUS 414","Real Estate Investments","This course provides a broad overview of the real estate field. We will investigate all aspects of real estate investment decisions, including property valuation and management, financing choices, and market cycles. The main goal of the course is to offer you a foundation for a career in the real estate industry.",3,"Students with credit for BUS 490, 491, 492, 493, 494, or 495 when offered as Real Estate Finance may not take this course for further credit.","","Prerequisite: BUS 315, BUS 360W, both with a minimum grade of C-; 60 units.","",FALSE,FALSE
"66","BUS 415","Applied Portfolio Management","Explores how investment selections can be used to form different portfolios, how to assess the ex-ante risk of those portfolios, and how to analyze portfolio performance. There will be a strong emphasis on ethics, development of investment policy, and integration of environmental, social, and governance in portfolio management. Students who have taken BUS 493 when the subject of the course was Portfolio Management may not take this course for further credit.",3,"","","Prerequisite: BUS 318, BUS 360W, both with a minimum grade of C-; 60 units.","",FALSE,FALSE
"67","BUS 417","Equity Security Analysis","Covers the historical, theoretical and practical issues involved in the market valuation of equity securities. Three general areas are studied: history of equity securities; theory of equity security valuation; and topics in portfolio management. Students who have taken BUS 492 under the topic Security Analysis may not take BUS 417 for further credit.",3,"","","Prerequisite: BUS 315, 360W, both with a minimum grade of C-; 60 units.","",FALSE,FALSE
"68","BUS 418","International Financial Management","An introduction to international financial markets and institutions and to the management of assets and liabilities in an international/multinational setting. Topics to be covered include: exchange rate determination and management of foreign exchange risk; interest rate swaps; international portfolio management; comparative markets; and country risk.",3,"","","Prerequisite: BUS 315, 316, 360W, all with a minimum grade of C-; 60 units.","",FALSE,FALSE
"69","BUS 419","Advanced Derivative Securities","This is a second course in derivative securities. Topics may include: extensions of the Black-Scholes model, pricing of American options, interest rate derivatives, complex derivatives and real options. Students who have taken BUS 493 under the topic Advanced Derivative Securities may not take BUS 419 for further credit.",3,"","","Prerequisite: BUS 315, 316, 360W, all with a minimum grade of C-; 60 units.","",FALSE,FALSE
"70","BUS 420","Advanced Accounting","In-depth coverage of advanced accounting topics, specifically issues relating to business combinations and foreign currency. An introduction to the unique aspects and issues of accounting for not-for-profit organizations will be provided. Consideration is also given to the interpretation and analysis of financial statements.",3,"","","Prerequisite: BUS 321, 360W, both with a minimum grade of C-; 60 units.","",FALSE,FALSE
"71","BUS 421","Accounting Theory","Consideration of methods by which accounting theory is developed and examination of specific models including historical costs, replacement costs, resale price and price level adjustment models.",3,"","","Prerequisite: BUS 207 (or ECON 201 or ECON 301), BUS 321, BUS 360W, all with a minimum grade of C-; 60 units.","",FALSE,FALSE
"72","BUS 424","Advanced Managerial Accounting","Process costing; joint and by-product costing; inventory planning and control; cost accounting and statistical methods, relationship to operations research.",3,"","","Prerequisite: BUS 322 or 319, 336, 360W, all with a minimum grade of C-; 60 units.","",FALSE,FALSE
"73","BUS 425","Co-op Practicum V","This is the fifth term of work experience for students in the Co-operative Education Program. It provides an opportunity to integrate theory and practice. This course is open only to co-op students. The co-op program co-ordinator must be contacted at the beginning of the term prior to enrollment for this course. Units for this course do not count towards the units required for an SFU degree. This course may be repeated for credit.",3,"","","","",FALSE,FALSE
"74","BUS 426","Auditing and Assurance: Concepts and Methods","A study of the conceptual foundations and the nature and purpose of the external audit function. The course will also discuss some of the more recent developments in auditing such as comprehensive auditing, computer auditing, and the use of statistical methodology in auditing.",3,"","","Prerequisite: BUS 321, 360W, both with a minimum grade of C-; 60 units.","",FALSE,FALSE
"75","BUS 428","Forensic Accounting and Data Analytics","This course combines forensic accounting with data analytics. Students explore common fraud schemes, and learn how to identify and investigate them. Students then apply data analytic methods to explore fraud in an accounting case, and communicate their findings to practicing forensic accountants who provide real-world guidance and feedback.",3,"","","Prerequisite: BUS 321, BUS 360W, both with a minimum grade of C-; 60 units.","",FALSE,FALSE
"76","BUS 430","Cross-Cultural Management","Examines the major similarities and differences in management systems and practices in a variety of countries, including western Europe, East Asia, Middle East, and Latin America. Topics include the following: comparative management frameworks, managing cultural differences, cross-cultural business negotiations, and international human resource management. Recommended: BUS 346.",3,"","","Prerequisite: BUS 360W with a minimum grade of C-; 60 units.","",FALSE,FALSE
