"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Breadth Category","Quantitative Requirement","Writing Requirement"
"14","STAT 302","Analysis of Experimental and Observational Data","The standard techniques of multiple regression analysis, analysis of variance, and analysis of covariance, and their role in observational and experimental studies. This course may not be used to satisfy the upper division requirements of the following programs: statistics major, statistics honours, actuarial science major, and actuarial science honours.",3,"Students who have taken STAT 350 first may not then take the course for further credit.","","Prerequisite: One of STAT 201, STAT 203, STAT 205, STAT 270, BUS 232, or ECON 233, with a minimum grade of C-.","",TRUE,FALSE
"15","STAT 305","Introduction to Biostatistical Methods for Health Sciences","Intermediate statistical techniques for the health sciences. Review of introductory concepts in statistics and probability including hypothesis testing, estimation and confidence intervals for means and proportions. Contingency tables and the analysis of multiple 2x2 tables. Correlation and regression. Multiple regression and model selection. Logistic regression and odds ratios. Basic concepts in survival analysis. This course may not be used to satisfy the upper division requirements of the following programs: statistics major, statistics honours, actuarial science major, and actuarial science honours.",3,"Students who have taken STAT 350 first may not then take this course for further credit.","","Prerequisite: One of STAT 201, STAT 203, STAT 205, STAT 270, BUS 232, or ECON 233, with a minimum grade of C-.","",TRUE,FALSE
"16","STAT 310","Introduction to Data Science for the Social Sciences","An introduction to modern tools and methods for data acquisition, management, visualization, and machine learning, capable of scaling to Big Data. No prior computer programming experience required. Examples will draw from the social sciences. This course may not be used to satisfy the upper division requirements of the statistics honours, major, or minor programs.",2,"Students who have taken STAT 240, STAT 440, or any 200-level or higher CMPT course first may not then take this course for further credit.","Corequisite: STAT 311.","Prerequisite: 60 units in subjects outside of the Faculties of Science and Applied Sciences and one of STAT 201, STAT 203, STAT 205, STAT 270, BUS 232, ECON 233, or POL 201, with a minimum grade of C-.","",TRUE,FALSE
"17","STAT 311","Data Science Laboratory for the Social Sciences","A hands-on application of modern tools and methods for data acquisition, management, visualization, and machine learning, capable of scaling to Big Data. No prior computer programming experience required. Projects will draw from the social sciences and integrate application area insight into the analytic toolkit from STAT 310. This course may not be used to satisfy the upper division requirements of the statistics honours, major, or minor programs.",2,"Students who have taken STAT 240, STAT 440, or any 200-level or higher CMPT course first may not then take this course for further credit.","Corequisite: STAT 310.","Prerequisite: 60 units in subjects outside of the Faculties of Science and Applied Sciences and one of STAT 201, STAT 203, STAT 205, STAT 270, BUS 232, ECON 233, or POL 201, with a minimum grade of C-.","",TRUE,FALSE
"18","STAT 320","Introduction to Data Science for the Life Sciences","An introduction to modern tools and methods for data acquisition, management, visualization, and machine learning, capable of scaling to Big Data. No prior computer programming experience required. Examples will draw from the life sciences. This course may not be used to satisfy the upper division requirements of the Statistics honours, major, or minor programs.",2,"Students who have taken STAT 240, STAT 310, or STAT 440 first may not then take this course for further credit.","Corequisite: MBB 343.","Prerequisite: One of STAT 201, STAT 203, STAT 205, or STAT 270, with a grade of at least C-.","",TRUE,FALSE
"19","STAT 330","Introduction to Mathematical Statistics","Review of probability and distributions. Multivariate distributions. Distributions of functions of random variables. Limiting distributions. Inference. Sufficient statistics for the exponential family. Maximum likelihood. Bayes estimation, Fisher information, limiting distributions of MLEs. Likelihood ratio tests.",3,"","","Prerequisite: STAT 285, MATH 251, and one of MATH 232 or MATH 240, all with a minimum grade of C-.","",TRUE,FALSE
"20","STAT 336","Job Practicum I","This is the first term of work experience in a co-operative education program available to statistics students. Interested students should contact their departmental advisors as early in their career as possible for proper counselling. Units from this course do not count towards the units required for an SFU degree. The course will be graded on a pass/withdraw basis. A course fee is required. They will normally be required to have completed 45 units with a GPA of 2.5 before they may take this practicum course.",3,"","","Prerequisite: Students must apply and receive permission from the co-op co-ordinator at least one but preferably two terms in advance.","",FALSE,FALSE
"21","STAT 337","Job Practicum II","This is the second term of work experience in a co-operative education program available to statistics students. Units from this course do not count towards the units required for an SFU degree. The course will be graded on a pass/withdraw basis. A course fee is required. Students must apply and receive permission from the co-op co-ordinator at least one term in advance.",3,"","","Prerequisite: STAT 336 or Job Practicum I from another department.","",FALSE,FALSE
"22","STAT 342","Introduction to Statistical Computing and Exploratory Data Analysis - SAS","Introduces the SAS statistical package. Data management; reading, editing and storing statistical data; data exploration and representation; summarizing data with tables, graphs and other statistical tools; and data simulation.",2,"Students with credit for STAT 340 may not take STAT 342 for further credit.","","Prerequisite: STAT 285 or STAT 302 or STAT 305 or ECON 333, with a minimum grade of C-.","",FALSE,FALSE
"23","STAT 350","Linear Models in Applied Statistics","Theory and application of linear regression. Normal distribution theory. Hypothesis tests and confidence intervals. Model selection. Model diagnostics. Introduction to weighted least squares and generalized linear models.",3,"","","Prerequisite: STAT 285, MATH 251, and one of MATH 232 or MATH 240, all with a minimum grade of C-.","",TRUE,FALSE
"24","STAT 360","Advanced R for Data Science","Advanced R programming methods for data science. Tools for reproducible research. Version control. Data structures, subsetting, functions, environments, and debugging. Functional programming. Code performance: profiling, memory, integrating R and C++. CMPT 125 or CMPT 129 is also recommended.",2,"","Corequisite: STAT 361.","Prerequisite: One of STAT 260 or STAT 341 and one of STAT 302, STAT 305, STAT 350, or ECON 333, all with a minimum grade of C-.","",FALSE,FALSE
"25","STAT 361","Laboratory for Advanced R for Data Science","A hands-on application of advanced R programming methods for data science. Using the R concepts covered in STAT 360 and tools for reproducible research, students will work with different data structures, write functions, and debug and optimize the performance of their code. CMPT 125 or CMPT 129 is also recommended.",1,"","Corequisite: STAT 360.","Prerequisite: One of STAT 260 or STAT 341 and one of STAT 302, STAT 305, STAT 350, or ECON 333, all with a minimum grade of C-.","",FALSE,FALSE
"26","STAT 380","Introduction to Stochastic Processes","Review of discrete and continuous probability models and relationships between them. Exploration of conditioning and conditional expectation. Markov chains. Random walks. Continuous time processes. Poisson process. Markov processes. Gaussian processes.",3,"","","Prerequisite: STAT 330, or all of: STAT 285, MATH 208W, and MATH 251, all with a minimum grade of C-.","",TRUE,FALSE
"27","STAT 390","Selected Topics in Probability and Statistics","Topics in areas of probability and statistics not covered in the regular undergraduate curriculum of the department.",3,"","","Prerequisite: Dependent on the topic covered.","",FALSE,FALSE
"28","STAT 403","Intermediate Sampling and Experimental Design","A practical introduction to useful sampling techniques and intermediate level experimental designs. This course may not be used to satisfy the upper division requirements of the Statistics major or honours program.",3,"Students with credit for STAT 410 or 430 may not take STAT 403 for further credit.","","Prerequisite: STAT 302, 305 or 350 or ECON 333, all with a minimum grade of C-.","",TRUE,FALSE
"29","STAT 410","Statistical Analysis of Sample Surveys","An introduction to the major sample survey designs and their mathematical justification. Associated statistical analyses.",3,"","","Prerequisite: STAT 350 with a minimum grade of C-.","",TRUE,FALSE
"30","STAT 430","Statistical Design and Analysis of Experiments","An extension of the designs discussed in STAT 350 to include more than one blocking variable, incomplete block designs, fractional factorial designs, and response surface methods.",3,"","","Prerequisite: STAT 350 with a minimum grade of C-.","",TRUE,FALSE
"31","STAT 436","Job Practicum III","This is the third term of work experience in a co-operative education program available to statistics students. Units from this course do not count towards the units required for an SFU degree. The course will be graded on a pass/withdraw basis. A course fee is required. Students must apply and receive permission from the co-op co-ordinator at least one term in advance.",3,"","","Prerequisite: STAT 337 or Job Practicum II from another department.","",FALSE,FALSE
"32","STAT 437","Job Practicum IV","This is the fourth term of work experience in a co-operative education program available to statistics students. Units from this course do not count towards the units required for an SFU degree. The course will be graded on a pass-withdraw basis. A course fee is required. Students must apply and receive permission from the co-op co-ordinator at least one term in advance.",3,"","","Prerequisite: STAT 436 or Job Practicum III from another department.","",FALSE,FALSE
"33","STAT 438","Job Practicum V","This is an optional fifth term of work experience in a co-operative education program available to statistics students. Units from this course do not count towards the units required for an SFU degree. The course will be graded on a pass/withdraw basis. A course fee is required. This course may be repeated for additive credit. Students must apply and receive permission from the co-op co-ordinator at least one term in advance.",3,"","","Prerequisite: STAT 437 or Job Practicum IV from another department.","",FALSE,FALSE
"34","STAT 440","Learning from Big Data","A data-first discovery of advanced statistical methods. Focus will be on a series of forecasting and prediction competitions, each based on a large real-world dataset. Additionally, practical tools for statistical modeling in real-world environments will be explored. STAT 240 is also recommended.",3,"","","Prerequisite: 90 units including STAT 350 with a minimum grade of C- and one of STAT 341, STAT 260, or CMPT 225, with a minimum grade of C-, or instructor approval.","",FALSE,FALSE
"35","STAT 445","Applied Multivariate Analysis","Introduction to principal components, cluster analysis, and other commonly used multivariate techniques.",3,"","","Prerequisite: STAT 285 or STAT 302 or STAT 305 or ECON 333 or equivalent, with a minimum grade of C-.","",TRUE,FALSE
"36","STAT 450","Statistical Theory","Distribution theory, methods for constructing tests, estimators, and confidence intervals with special attention to likelihood methods. Properties of the procedures including large sample theory.",3,"","","Prerequisite: STAT 330 with a minimum grade of C-.","",TRUE,FALSE
"37","STAT 452","Statistical Learning and Prediction","An introduction to the essential modern supervised and unsupervised statistical learning methods. Topics include review of linear regression, classification, statistical error measurement, flexible regression and classification methods, clustering and dimension reduction.",3,"","","Prerequisite: STAT 302 or STAT 305 or STAT 350 or ECON 333 or equivalent, with a minimum grade of C-.","",TRUE,FALSE
"38","STAT 460","Bayesian Statistics","The Bayesian approach to statistics is an alternative and increasingly popular way of quantifying uncertainty in the presence of data. This course considers comparative statistical inference, prior distributions, Bayesian computation, and applications.",3,"","","Prerequisite: STAT 330 and 350, with a minimum grade of C-.","",TRUE,FALSE
"39","STAT 475","Applied Discrete Data Analysis","Introduction to standard methodology for analyzing categorical data including chi-squared tests for two- and multi-way contingency tables, logistic regression, and loglinear (Poisson) regression.",3,"Students with credit for the former STAT 402 or 602 may not take this course for further credit.","","Prerequisite: STAT 302 or STAT 305 or STAT 350 or ECON 333 or equivalent, with a minimum grade of C-.","",TRUE,FALSE
"40","STAT 485","Applied Time Series Analysis","Introduction to linear time series analysis including moving average, autoregressive and ARIMA models, estimation, data analysis, forecasting errors and confidence intervals, conditional and unconditional models, and seasonal models. This course may not be taken for further credit by students who have credit for ECON 484.",3,"","","Prerequisite: STAT 285 or STAT 302 or STAT 305 or ECON 333 or equivalent, with a minimum grade of C-.","",TRUE,FALSE
"41","STAT 490","Selected Topics in Probability and Statistics","Topics in areas of probability and statistics not covered in the regular undergraduate curriculum of the department.",3,"","","Prerequisite: Dependent on the topic covered.","",FALSE,FALSE
"42","STAT 495","Directed Studies in Probability and Statistics","Independent reading or research on consultation with the supervising instructor. This course can be repeated for credit.",3,"","","Prerequisite: Written permission of the department undergraduate studies committee.","",FALSE,FALSE
"43","STAT 603","Quantitative Analysis of Research Studies","The use of statistical techniques and mathematical models in field research with special emphasis on experimentation, survey techniques, and statistical model construction. This course may not be used for the satisfaction of degree requirements in the Department of Statistics and Actuarial Science.",5,"Students may not obtain credit for STAT 603 if they already have credit for STAT 403.","","Prerequisite: A course in statistics.","",FALSE,FALSE
"44","STAT 604","Analysis of Experimental and Observational Data","The standard techniques of multiple regression analysis, analysis of variance, and analysis of covariance, and their role in experimental research. Open only to students in departments other than Statistics and Actuarial Science.",3,"Students with credit for STAT 302 may not take this course for further credit.","","Prerequisite: Any course in Statistics.","",FALSE,FALSE
"45","STAT 605","Biostatistical Methods","Intermediate statistical techniques for the health sciences. Review of introductory concepts in statistics and probability including hypothesis testing, estimation and confidence intervals for means and proportions. Contingency tables and the analysis of multiple 2x2 tables. Correlation and regression. Multiple regression and model selection. Logistic regression and odds ratios. Basic concepts in survival analysis. Open only to students in departments other than Statistics and Actuarial Science.",3,"Students with credit for STAT 305 may not take this course for further credit.","","Prerequisite: Any course in Statistics.","",FALSE,FALSE
"46","STAT 641","Introduction to Statistical Computing and Exploratory Data Analysis - R","Introduces the R statistical package in the context of statistical problems. Data management; reading, editing and storing statistical data; data exploration and representation; summarizing data with tables, graphs and other statistical tools; and data simulation. Open only to students in departments other than Statistics and Actuarial Science.",2,"Students with credit for STAT 340 or STAT 341 may not take STAT 641 for further credit.","","Prerequisite: STAT 285 or STAT 302 or STAT 305 or STAT 604 or STAT 605 or ECON 333 or equivalent.","",FALSE,FALSE
"47","STAT 642","Introduction to Statistical Computing and Exploratory Data Analysis - SAS","Introduces the SAS statistical package. Data management; reading, editing and storing statistical data; data exploration and representation; summarizing data with tables, graphs and other statistical tools; and data simulation. Open only to students in departments other than Statistics and Actuarial Science.",2,"Students with credit for STAT 340 or STAT 342 may not take STAT 642 for further credit.","","Prerequisite: STAT 285 or STAT 302 or STAT 305 or STAT 604 or STAT 605 or ECON 333 or equivalent.","",FALSE,FALSE
"48","STAT 645","Applied Multivariate Analysis","Introduction to principal components, cluster analysis, and other commonly used multivariate techniques. Open only to graduate students in departments other than Statistics and Actuarial Science.",3,"","","Prerequisite: STAT 302 or STAT 305 or STAT 350 or STAT 604 or STAT 605 or ECON 333 or permission of instructor.","",FALSE,FALSE
"49","STAT 652","Statistical Learning and Prediction","An introduction to the essential modern supervised and unsupervised statistical learning methods. Topics include review of linear regression, classification, statistical error measurement, flexible regression and classification methods, clustering and dimension reduction. Open only to graduate students in departments other than Statistics and ActSci.",3,"Students with credit for STAT 452 may not take this course for further credit.","","Prerequisite: STAT 302 or STAT 305 or STAT 350 or STAT 604 or STAT 605 or ECON 333 or equivalent.","",FALSE,FALSE
"50","STAT 675","Applied Discrete Data Analysis","Introduction to standard methodology for analyzing categorical data including chi-squared tests for two- and multi-way contingency tables, logistic regression, and loglinear (Poisson) regression. Open only to graduate students in departments other than Statistics and Actuarial Science.",3,"Students with credit for STAT 402 or 602 may not take this course for further credit.","","Prerequisite: STAT 302 or STAT 305 or STAT 350 or STAT 604 or STAT 605 or ECON 333 or permission of instructor.","",FALSE,FALSE
"51","STAT 685","Applied Time Series Analysis","Introduction to linear time series analysis including moving average, autoregressive and ARIMA models, estimation, data analysis, forecasting errors and confidence intervals, conditional and unconditional models, and seasonal models. Open only to graduate students in departments other than Statistics and Actuarial Science.",3,"","","Prerequisite: STAT 302 or STAT 305 or STAT 350 or STAT 604 or STAT 605 or ECON 333 or permission of instructor.","",FALSE,FALSE
"52","STAT 811","Statistical Consulting I","This course is designed to give students some practical experience as a statistical consultant through classroom discussion of issues in consulting and participation in the department's Statistical Consulting Service under the direction of faculty members or the director.",2,"","","","",FALSE,FALSE
"53","STAT 812","Statistical Consulting II","Students will participate in the department's Statistical Consulting Service under the direction of faculty members or the director.",2,"","","","",FALSE,FALSE
"54","STAT 830","Statistical Theory I","The statistical theory that supports modern statistical methodologies. Distribution theory, methods for construction of tests, estimators, and confidence intervals with special attention to likelihood and Bayesian methods. Properties of the procedures including large sample theory will be considered. Consistency and asymptotic normality for maximum likelihood and related methods (e.g., estimating equations, quasi-likelihood), as well as hypothesis testing and p-values. Additional topics may include: nonparametric models, the bootstrap, causal inference, and simulation.",4,"Students with credit for STAT 801 may not take this course for further credit.","","Prerequisite: STAT 450 or permission of the instructor.","",FALSE,FALSE
"55","STAT 831","Statistical Theory II","Advanced mathematical statistics for PhD students. Topics in probability theory including densities, expectation and random vectors and matrices are covered. The theory of point estimation including unbiased and Bayesian estimation, conditional distributions, variance bounds and information. The theoretical framework of hypothesis testing is covered. Additional topics that may be covered include modes of convergence, central limit theorems for averages and medians, large sample theory and empirical processes.",4,"","","Prerequisite: STAT 830 or permission from the instructor.","",FALSE,FALSE
"56","STAT 832","Applied Probability Models","Application of stochastic processes: queues, inventories, counters, etc. Reliability and life testing. Point processes. Simulation.",4,"Students with credit for STAT 870 may not take this course for further credit.","","","",FALSE,FALSE
"57","STAT 840","Statistical Genetics and Genomics","A mixed lecture and seminar-based course to introduce Statistics graduate students to statistical models and methods in Genetics and Genomics. Topics may include applications of statistical learning in: Quantitative Genetics, Population and Evolutionary Genetics, Computational Molecular Genetics, Human Genomics and Genetic Epidemiology.",4,"","","Prerequisite: STAT 450 or permission of the instructor.","",FALSE,FALSE
"58","STAT 841","Advanced Design of Experiments","An advanced treatment of experimental design. Topics can include: factorial designs, multi-stratum experiments, orthogonal arrays, optimal design and robust parameter design.",4,"","","Prerequisite: STAT 830 or permission of the instructor.","",FALSE,FALSE
"59","STAT 842","Environmetrics","A practical introduction to analyzing (complex) ecological data using modern statistical methods. A foundation for application of environmental models and methods in scientific research and policy.",4,"","","Prerequisite: STAT 830 or permission of the instructor.","",FALSE,FALSE
"60","STAT 843","Functional Data Analysis","An introduction to smoothing and modelling of functional data. Basis expansion methods, functional regression models and derivative estimation are covered.",4,"","","Prerequisite: STAT 830 or permission of the instructor.","",FALSE,FALSE
"61","STAT 850","Linear Models and Applications","A modern approach to normal theory for general linear models including models with random effects and ""messy"" data. Topics include experimental units, blocking, theory of quadratic forms, linear contrasts, analysis of covariance, heterogeneous variances, factorial treatment structures, means comparisons, missing data, multi-unit designs, pseudoreplication, repeated measures mixed model formulation and estimation and inference.",4,"","","Prerequisite: STAT 350 or equivalent.","",FALSE,FALSE
"62","STAT 851","Generalized Linear Models and Discrete Data Analysis","The theory and application of statistical methodology for analyzing non-normal responses. Special emphasis on contingency tables, logistic regression, and log-linear models. Other topics can include mixed-effects models and models for overdispersed data.",4,"","","Prerequisite: STAT 830 and STAT 850 or permission of instructor.","",FALSE,FALSE
"63","STAT 852","Modern Methods in Applied Statistics","An advanced treatment of modern methods of multivariate statistics and non-parametric regression. Topics may include: (1) dimension reduction techniques such as principal component analysis, multidimensional scaling and related extensions; (2) classification and clustering methods; (3) modern regression techniques such as generalized additive models, Gaussian process regression and splines.",4,"","","Prerequisite: STAT 830 and STAT 853 or permission of instructor.","",FALSE,FALSE
"64","STAT 853","Applications of Statistical Computing","An introduction to computational methods in applied statistics. Topics can include: the bootstrap, Markov Chain Monte Carlo, EM algorithm, as well as optimization and matrix decompositions. Statistical applications will include frequentist and Bayesian model estimation, as well as inference for complex models. The theoretical motivation and application of computational methods will be addressed.",4,"","","Prerequisite: STAT 830 or equivalent or permission of instructor.","",FALSE,FALSE
"65","STAT 854","Biometrics: Methods in Biomedical Studies","Principles, methods and applications of basic statistical approaches in biomedical studies are presented. Topics include introduction to epidemiology; design of cohort and case-control studies; experimental versus observational data, and cross-sectional versus longitudinal studies; issues of confounding, causation and missing data; design of clinical trials; data monitoring and interim analysis.",4,"","","Prerequisite: STAT 450 or permission of the instructor.","",FALSE,FALSE
"66","STAT 855","Lifetime Data Analysis","Statistical methodology used in analysing failure time data. Likelihoods under various censoring patterns. Inference using parametric regression models including the exponential, Weibull, lognormal, generalized gamma distributions. Goodness-of-fit tests. The proportional hazards family, and inference under the proportional hazards model. Stratification and blocking in proportional hazards models. Time dependent covariates. Regression methods for grouped data.",4,"Students with credit for STAT 806 may not take this course for further credit.","","Prerequisite: STAT 450.","",FALSE,FALSE
"67","STAT 856","Longitudinal Data Analysis","Methods for the analysis of repeated measures, correlated outcomes and longitudinal data, including unbalanced and incomplete data sets, characteristic of biomedical research are covered. Topics include covariance pattern models, random or mixed-effects models, multilevel models, generalized estimating equations, inference for multistate processes and counting processes, and methods for handling missing data.",4,"","","Prerequisite: STAT 450 or permission of the instructor.","",FALSE,FALSE
"68","STAT 857","Space-Time Models","The theory and application of statistical approaches for the analysis of spatial and time dependent data. Topics will include: point pattern analysis, spatial autocorrelation analysis, geostatistics, lattice processes, modeling spatial count and binary data, spatio-temporal models and time series analysis.",4,"","","Prerequisite: STAT 830 or permission of the instructor.","",FALSE,FALSE
"69","STAT 880","Co-op I","First term of work experience in the Co-operative Education Program. Graded on a satisfactory/unsatisfactory basis.",0,"","","","",FALSE,FALSE
"70","STAT 881","Co-op II","Second term of work experience in the Co-operative Education Program. Graded on a satisfactory/unsatisfactory basis.",0,"","","","",FALSE,FALSE
"71","STAT 882","Co-op III","Third term of work experience in the Co-operative Education Program. Graded on a satisfactory/unsatisfactory basis.",0,"","","","",FALSE,FALSE
"72","STAT 890","Statistics: Selected Topics","",4,"","","","",FALSE,FALSE
"73","STAT 891","Seminar","A course to be team taught by current and visiting faculty and with topics chosen to match the interests of the students.",2,"","","","",FALSE,FALSE
"74","STAT 894","Reading","Equivalent Courses: MATH894.",2,"","","","",FALSE,FALSE
"75","STAT 895","Reading","Reading. Variable Units 1, 2, 3 or 4 units. Students who have credit for MATH 895 may not take STAT 895 for further credit.",4,"","","","",FALSE,FALSE
"76","STAT 897","PhD Comprehensive Exam","Candidates must pass a general examination and may not complete the general exam more than twice. This exam is normally completed within two terms of initial PhD enrollment. Graded on a satisfactory/unsatisfactory basis.",0,"","","Prerequisite: STAT PhD students.","",FALSE,FALSE
"77","STAT 898","MSc Project (10)","Students are required to submit and successfully defend a project based on a statistical analysis problem or on the development of new statistical methodology. The project is examined as a thesis and must be submitted to the library. Graded on a satisfactory/unsatisfactory basis.",10,"","","","",FALSE,FALSE
"78","STAT 899","PhD Thesis","Graded on a satisfactory/unsatisfactory basis.",6,"","","","",FALSE,FALSE
