"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Equivalency","Lab","Note"
"24","STAT 4100","Statistical Inference","Rigorous treatment of inferential methods associated with point estimation, confidence intervals and hypothesis testing, including large sample techniques. May not be held with the former STAT 4140.",3,"STAT 4140","","[one of STAT 2800, the former STAT 3400, or the former STAT 3500] and [one of STAT 3100, the former STAT 3600, or the former STAT 3800]","",TRUE,"Mathematics Requirement, Science"
"25","STAT 4150","Bayesian Analysis and Computing","Bayesian modelling, prior and posterior distributions, predictive distributions, credible regions, Bayes factors and model uncertainty, Bayesian computational methods.",3,"","","[one of STAT 2800, the former STAT 3400, or the former STAT 3500] and [one of STAT 3100, the former STAT 3600, or the former STAT 3800] and STAT 3150","",TRUE,"Mathematics Requirement, Science"
"26","STAT 4170","Lifetime Data Analysis","Introduction to basic principles and techniques for lifetime data analysis in biostatistics and reliability, with emphasis on theory and applications. Topics to be covered include: censoring, truncation, survival and hazard functions, parametric and nonparametric methods, proportional hazards regression.",3,"","","[one of STAT 3100, the former STAT 3600, or the former STAT 3800] and [one of STAT 3450, the former STAT 3120, or the former STAT 3470]","",FALSE,"Mathematics Requirement, Science"
"27","STAT 4250","Statistical Learning","Topics related to the use of Statistics and inferential methods in machine learning, including the lasso and ridge regression, classification and clustering, neural networks, support vector machines, bagging, boosting and ensemble methods.",3,"","","[one of STAT 3100, the former STAT 3600, or the former STAT 3800] and STAT 3150 and [STAT 3690 or the former STAT 4690]","",TRUE,"Mathematics Requirement, Science"
"28","STAT 4520","Sampling Techniques","Development of sampling theory for use in sample survey problems. Covered topics include: probability sampling and inclusion probabilities, standard sampling designs, ratio and regression estimators, linearization of estimators.",3,"","","[STAT 2300 and (one of STAT 3450, the former STAT 3120, or the former STAT 3470)] or the former STAT 3480","",FALSE,"Mathematics Requirement, Science"
"29","STAT 4530","Design of Experiments","Construction and analysis of commonly used experimental designs: block designs, Latin square designs, factorial and fractional factorial designs, split-plot designs.",3,"","","[STAT 2300 and (one of STAT 3450, the former STAT 3120, or the former STAT 3470)] or the former STAT 3480","",FALSE,"Mathematics Requirement, Science"
"30","STAT 4630","Stochastic Processes","Continuous time processes, renewal processes, Brownian motion, martingales, and other related processes.",3,"","","STAT 3030 or the former STAT 3050","",FALSE,"Mathematics Requirement, Science"
"31","STAT 4700","Statistical Consulting","The role of a Statistics Consultant. Practical consulting experience. This course is restricted to students in the Honours, Joint Honours, or Major degree programs in Statistics. Students are advised to take this course in their fourth year.",3,"","STAT 3550 and [STAT 3690 or the former STAT 4690]","STAT 2300 or the former STAT 3480","",FALSE,"Mathematics Requirement, Science"
"32","STAT 4900","Advanced Topics in Statistics","Topics of current interest in Statistics that will vary with the needs and interests of students and faculty. This course can be completed as a topics course multiple times under different titles.",3,"","","consent of Department","",FALSE,"Mathematics Requirement, Science"
"33","STAT 4910","Advanced Topics in Statistics with Laboratory","Topics of current interest in Statistics that will vary with the needs and interests of students and faculty. This course can be completed as a topics course multiple times under different titles.",3,"","","consent of Department","",TRUE,"Mathematics Requirement, Science"
"34","STAT 4950","Honours Thesis in Statistics","The student will conduct a research project chosen in consultation with a Statistics faculty member, acting as an advisor, and the Department Head (or designate). The student will present the project, the results and conclusions in both a written format (i.e. the thesis) and an oral format (i.e. an oral presentation to be held upon completion of the thesis). Both data oriented and theoretical topics are acceptable. This course will normally be taken in a student's final year. This course is restricted to students in the Honours or Joint Honours degree programs in Statistics.",6,"","","consent of Department","",FALSE,"Mathematics Requirement, Science"
"35","STAT 4980","Work Term III","Work assignments in business, industry or government for students registered in the Statistics Honours or Major Cooperative program. Requires submission of a written report covering the work completed during the four-month professional assignment. (Pass/Fail).",0,"","","STAT 3990 (P)","",FALSE,"Mathematics Requirement, Science"
"36","STAT 4990","Work Term IV","Work assignments in business, industry or government for students registered in the Statistics Honours or Major Cooperative program. Requires submission of a written report covering the work completed during the four-month professional assignment. (Pass/Fail).",0,"","","STAT 4980 (P)","",FALSE,"Mathematics Requirement, Science"
