"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Equivalency","Lab","Note"
"11","MATH 1240","Elementary Discrete Mathematics","The course is intended for students in mathematically rich disciplines including those planning to enter an Honours or Major program in Mathematics or Statistics. An introduction to mathematical ideas, proof, techniques, and mathematical writing, explored through topics in discrete mathematics. May not be held with MATH 1241 or MATH 3120.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 3120","","One of Pre-calculus Mathematics 40S (60%), the former Mathematics 40S (300) (60%), MATH 1018 (B), or MSKL 0100","MATH 1241",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"12","MATH 1300","Vector Geometry and Linear Algebra","An introduction to vectors, matrices, systems of linear equations and three-dimensional geometry. May not be held for credit with MATH 1210, MATH 1211, MATH 1220, MATH 1310, MATH 1301, or the former MATH 1680.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1210, MATH 1211, MATH 1220, MATH 1680","","One of Pre-calculus Mathematics 40S (60%), Applied Mathematics 40S (70%), the former Mathematics 40S (300) (60%), MATH 1018 (C+), or MSKL 0100","MATH 1301, MATH 1310",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"13","MATH 1310","Matrices for Management and Social Sciences","Matrix methods with examples relevant to the Management and Social Sciences. Topics include vectors, matrices, systems of linear equations, and determinants; applications include economic models, the simplex method for linear programming, Markov chains, and game theory. May not be held with MATH 1210, MATH 1211, MATH 1220, MATH 1300, MATH 1301, or the former MATH 1680.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1210, MATH 1211, MATH 1220, MATH 1680","","a minimum grade of 60% in Pre-calculus Mathematics 40S or the former Mathematics 40S (300), or MSKL 0100 offered by Extended Education","MATH 1300, MATH 1301",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"14","MATH 1500","Introduction to Calculus","Differentiation and integration of elementary functions, with applications to maxima and minima, rates of change, area, and volume. May not to be held with MATH 1230, MATH 1501, MATH 1510, MATH 1520, the former MATH 1680, or MATH 1690.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1230, MATH 1680, MATH 1690","","One of Pre-calculus Mathematics 40S (60%), the former Mathematics 40S (300) (60%), MATH 1018 (C+), or MSKL 0100","MATH 1501, MATH 1510, MATH 1520, MATH 1530",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"15","MATH 1510","Applied Calculus 1","Functions and graphs; limits and continuity; differentiation of functions defined explicitly, implicitly and parametrically; applications of derivatives to velocity and acceleration, related rates, maxima and minima; differentials, indefinite and definite integrals, application of integration to area. Physical applications in this course make it especially suitable for students intending to take programs in engineering. May not be held with MATH 1230, MATH 1500, MATH 1501, MATH 1520, the former MATH 1530, the former MATH 1680, or MATH 1690.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1230, MATH 1680, MATH 1690","","(One of Pre-calculus Mathematics 40S (60%), the former Mathematics 40S (300) (60%), MATH 1018 (C+), or MSKL 0100) and (one of Physics 40S (300) (50%), PHYS 1018, PHYS 0900 (P), or PSKL 0100 (P))","MATH 1500, MATH 1501, MATH 1520, MATH 1530",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"16","MATH 1520","Introductory Calculus for Management and Social Sciences","Differentiation and integration of functions of one variable and partial differentiation of functions of several variables. Emphasizes applications in the areas of management and social science. May not be held with MATH 1230, MATH 1500, MATH 1501, MATH 1510, the former MATH 1680, or MATH 1690.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1230, MATH 1680, MATH 1690","","One of Pre-calculus Mathematics 40S (60%), the former Mathematics 40S (300) (60%), MATH 1018 (C+), or MSKL 0100","MATH 1500, MATH 1501, MATH 1510, MATH 1530",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"17","MATH 1690","Calculus","An introduction to the calculus of functions of one variable. This course covers the same material as MATH 1500 and MATH 1700 together, but in greater depth. Exposure to high school calculus (45S) is desirable, but not essential. This course is intended for students planning to enter an Honours or 4 year Major program in Mathematics. May not be held with MATH 1230, MATH 1232, MATH 1500, MATH 1501, MATH 1510, MATH 1520, the former MATH 1680, MATH 1700, MATH 1701, MATH 1710.",6,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1230, MATH 1232, MATH 1500, MATH 1501, MATH 1510, MATH 1520, MATH 1680, MATH 1700, MATH 1701, MATH 1710","","a minimum grade of 80 % in Pre-calculus Mathematics 40S or the former Mathematics 40S (300)","",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"18","MATH 1700","Calculus 2","Theory and techniques of integration, curve sketching, volume, arc length, surface area and partial derivatives. May not be held with MATH 1232, MATH 1690, MATH 1701, MATH 1710.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1232, MATH 1690","","one of MATH 1230, MATH 1500, MATH 1501, MATH 1510, MATH 1520, or the former MATH 1680","MATH 1701, MATH 1710, MATH 1730",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"19","MATH 1710","Applied Calculus 2","Applications of integration to volumes, centres of mass, moments of inertia, work and fluid pressure; differentiation of trigonometric, inverse trigonometric, exponential, and logarithmic functions; techniques of integration; polar coordinates. Physical applications in this course make it especially suitable for students intending to take programs in engineering. May not be held with MATH 1232, MATH 1690, MATH 1700, MATH 1701.",3,"FA 1020, MATH 1010, MATH 1018, MATH 1020, MATH 1191, MATH 1232, MATH 1690","","one of MATH 1230, MATH 1500, MATH 1501, MATH 1510, MATH 1520, or the former MATH 1680","MATH 1700, MATH 1730",TRUE,"Mathematics Requirement, Science, Recommended Intro Courses"
"20","MATH 2020","Algebra 1","The course is intended for students in mathematically rich disciplines. Groups, rings, fields: elementary concepts and examples. May not be held with MATH 2021 or the former MATH 3350.",3,"MATH 3350","","MATH 2090 or MATH 2091 or the former MATH 2352 or the former MATH 2300 (B) or MATH 2301 (B)","MATH 2021",TRUE,"Mathematics Requirement, Science"
"21","MATH 2030","Combinatorics 1","Introductory combinatorics, including basic counting, permutations and combinations, enumeration, inclusion-exclusion, pigeonhole principle, solving basic recursions, relations, and derangements. May not be held MATH 2031 or the former MATH 3400.",3,"MATH 3400","","MATH 1240 or MATH 1241 or (the former MATH 2202 and one of the former MATH 2350 or the former MATH 2352) or consent of instructor","MATH 2031",TRUE,"Mathematics Requirement, Science"
"22","MATH 2040","Curves and Surfaces","Curves and surfaces in the plane and space. Intrinsic geometry of curves and surfaces: Serret Frenet frames, first and second fundamental forms, curvature and the Gauss map. Geodesics and parallel transport. Theorema Egregium and Gauss-Bonnet theorems.",3,"","one of MATH 2150, MATH 2151, MATH 2720, or MATH 2721","[one of MATH 1232, MATH 1690, MATH 1700 (B), MATH 1701 (B), or MATH 1710 (B)] and [one of MATH 1220, MATH 1210 (B), MATH 1211 (B), MATH 1300 (C+), or MATH 1301 (C+)]; or consent of instructor","",TRUE,"Mathematics Requirement, Science"
"23","MATH 2070","Graph Theory 1","Introduction to graphs, digraphs, and multigraphs. Topics include trees, cycles and circuits, planarity, basic graph algorithms, and applications of graph theory to social and physical sciences. May not be held with MATH 2071 or the former MATH 2400 or COMP 4340.",3,"COMP 4340, MATH 2400","","[MATH 1240 or MATH 1241] and [one of MATH 1220, MATH 1210 (B), MATH 1211 (B), MATH 1300 (C+), or MATH 1301 (C+)]","MATH 2071",TRUE,"Mathematics Requirement, Science"
"24","MATH 2080","Introduction to Analysis","The course is intended for students in mathematically rich disciplines. Fundamental properties of the real number system as a complete ordered field, Archimedean property, existence of square roots, density of rational numbers, uncountability of real numbers. Sequences, subsequences, limit theorems, monotonicity, Bolzano-Weierstrass theorem, Cauchy sequences. Rigorous treatment of limits and continuity of functions of one and several variables. Uniform continuity. Applications. May not be held with MATH 2081 or the former MATH 2202.",3,"MATH 2202","","[one of MATH 1232, MATH 1690, MATH 1700 (B), MATH 1701 (B), or MATH 1710 (B)] and [one of MATH 1220, MATH 1210 (B), MATH 1211 (B) MATH 1300 (C+), MATH 1301 (C+)] and [MATH 1240 or MATH 1241]","MATH 2081",TRUE,"Mathematics Requirement, Science"
"25","MATH 2090","Linear Algebra 2","The course is intended for students in mathematically rich disciplines. Abstract vector spaces, linear transformations, bases and coordinatization, matrix representations, orthogonalization, diagonalization, principal axis theorem. May not be held with MATH 2091, the former MATH 2300, the former MATH 2301, the former MATH 2350, or the former MATH 2352.",3,"MATH 2300, MATH 2301, MATH 2350, MATH 2352","","one of MATH 1220, MATH 1210 (B), MATH 1211 (B), MATH 1300 (C+), or MATH 1301 (C+)","MATH 2091",TRUE,"Mathematics Requirement, Science"
"26","MATH 2120","Introductory Numerical Methods for Engineers","Numerical methods applied to problems in engineering; roots of nonlinear equations and systems of linear equations, numerical differentiation and integration, initial-value problems. For Engineering and Geophysics students only. May not be held with MATH 2600 or MATH 2601.",4,"MATH 2160, MATH 2161, MATH 2600, MATH 2601, MECH 2150","Prerequisites: one of COMP 1010, COMP 1011, COMP 1012, COMP 1013; pre- or : MATH 2132 or the former MATH 2100","one of COMP 1010, COMP 1011, COMP 1012, COMP 1013; pre- or corequisite: MATH 2132 or the former MATH 2100","",TRUE,"Mathematics Requirement, Science"
"27","MATH 2130","Engineering Mathematical Analysis 1","Multivariable differential and integral calculus up to and including multiple integrals in cylindrical and spherical coordinates. This course is intended for students in Engineering and Geophysics programs. May not be held for credit with MATH 2150, MATH 2151, MATH 2720, MATH 2721, the former MATH 2110, or the former MATH 2750.",3,"MATH 2110, MATH 2150, MATH 2151, MATH 2720, MATH 2721, MATH 2750","","(MATH 1210 or MATH 1211) and (one of MATH 1232, MATH 1690, MATH 1700, MATH 1701, or MATH 1710)","",TRUE,"Mathematics Requirement, Science"
"28","MATH 2132","Engineering Mathematical Analysis 2","Infinite series, Taylor and Maclaurin Series; ordinary differential equations including Laplace transforms. This course is intended for students in Engineering and Geophysics programs. May not be held for credit with the former MATH 2100, the former MATH 2730, the former MATH 2731, the former MATH 2800, or the former MATH 2801.",3,"MATH 2100, MATH 2730, MATH 2731, MATH 2750, MATH 2800, MATH 2801","","(MATH 1210 or MATH 1211) and (one of MATH 1232, MATH 1690, MATH 1700, MATH 1701, or MATH 1710)","",TRUE,"Mathematics Requirement, Science"
"29","MATH 2150","Multivariable Calculus","The course is intended for students in mathematically rich disciplines. Parametric curves, arc length and curvature. Functions of several variables. Level curves. Partial derivatives, gradient, divergence and curl. Max/min problems. Double and triple integrals, line and surface integrals of functions and vector fields, and applications. Green's, Stokes, and divergence theorems. May not be held with MATH 2130, MATH 2151, MATH 2720, MATH 2721, or the former MATH 2750.",3,"MATH 2130, MATH 2720, MATH 2721, MATH 2750","","MATH 2080 or MATH 2081 or the former MATH 2202","MATH 2151",TRUE,"Mathematics Requirement, Science"
"30","MATH 2160","Numerical Analysis 1","Elementary techniques of numerical solution of mathematical problems: solution of equations, linear systems of equations, nonlinear equations; finite and divided differences, interpolation; numerical differentiation and integration. May not be held with MATH 2120, MATH 2161, the former MATH 2600, or the former MATH 2601.",3,"MATH 2120, MATH 2600, MATH 2601, MECH 2150","","[one of MATH 1232, MATH 1690, MATH 1700 (B), MATH 1701 (B), or MATH 1710 (B)] and [one of MATH 1220, MATH 1210 (B), MATH 1211 (B), MATH 1300 (C+), or MATH 1301 (C+)]","MATH 2161",TRUE,"Mathematics Requirement, Science"
"31","MATH 2170","Number Theory 1","Prime numbers, unique factorization, linear congruences, Chinese remainder theorem, multiplicative functions, primitive roots and quadratic reciprocity. May not be held with the former MATH 2500 or the former MATH 2501.",3,"MATH 2500","","(MATH 2090 or MATH 2091) or (MATH 1240 or MATH 1241) or (the former MATH 2350 or the former MATH 2352) or (a ""B"" or better in the former MATH 2300 or the former MATH 2301)","",TRUE,"Mathematics Requirement, Science"
"32","MATH 2180","Real Analysis 1","Introduction to metric spaces including connectedness, compactness and continuity; topics in infinite series of numbers, and sequences and series of functions. May not be held with the former MATH 3230.",3,"MATH 3230","","MATH 2080 or MATH 2081 or the former MATH 2202","MATH 2181",TRUE,"Mathematics Requirement, Science"
"33","MATH 2720","Multivariable Calculus","Calculus of several variables. This course is intended for students in one of the following programs: Actuarial Mathematics, Data Science, Statistics (Honours or Majors), Physics (Honours or Majors) Geophysics (Honours or Majors), and Physical Geography. May not be held with MATH 2130, MATH 2150, MATH 2151, MATH 2721, the former MATH 2110, or the former MATH 2750.",3,"MATH 2110, MATH 2130, MATH 2150, MATH 2151, MATH 2750","","(one of MATH 1220, MATH 1210 (B), MATH 1211 (B), MATH 1300, MATH 1301, or MATH 1310) and (one of MATH 1232, MATH 1690, MATH 1700, MATH 1701, or MATH 1710)","MATH 2721",TRUE,"Mathematics Requirement, Science"
"34","MATH 2740","Mathematics of Data Science","This course introduces some of the mathematical tools used in Data Science. Topics include linear algebra: least squares, singular value decomposition, principal components analysis, and graph theory: centrality, social network theory, clustering. This course can only be used as an elective in an Honours, Major, or Joint Honours program in Mathematics.",3,"","","[(a ""B"" or better in MATH 1210 or MATH 1211) or (one of MATH 1220, MATH 1300, or MATH 1301)] and (one of MATH 1232, MATH 1690, MATH 1700, MATH 1701, or MATH 1710)","",TRUE,"Mathematics Requirement, Science"
"35","MATH 3120","Applied Discrete Mathematics","Sets, groups, graphs, and Boolean algebra. For Engineering students only. May not be held with COMP 2130.",3,"COMP 2130, MATH 1240, MATH 1241","","ECE 2220 and MATH 2130","",TRUE,"Mathematics Requirement, Science"
"36","MATH 3132","Engineering Mathematical Analysis 3","Vector integral calculus; series of Ordinary differential equations; Fourier series and Partial differential equations. This course is intended for students in Engineering and Geophysics programs. May not be held with former MATH 3100, the former MATH 3740, or the former MATH 3800.",3,"MATH 3100, MATH 3740, MATH 3800","","MATH 2130 and MATH 2132","",TRUE,"Mathematics Requirement, Science"
"37","MATH 3142","Engineering Mathematical Analysis 4","Introduction to discrete mathematics; systems of linear differential equations; complex function theory and applications. For Engineering and Geophysics students only. May not be held with MATH 3110, MATH 3700, MATH 3710, or MATH 3800.",3,"MATH 3110, MATH 3700, MATH 3710, MATH 3800","","MATH 2130; and MATH 2132 or the former MATH 2110","",FALSE,"Mathematics Requirement, Science"
"38","MATH 3320","Algebra 2","Basic structure theory of groups, integral domains and field extensions. Not to be held with the former MATH 3350.",3,"MATH 3350","","MATH 2020 or MATH 2021 or (the former MATH 3300 and consent of instructor)","",FALSE,"Mathematics Requirement, Science"
"39","MATH 3322","Algebra 3","A continuation of topics in Algebra 1 and Algebra 2. More structure theory of groups, general ring theory, fields and field extensions, Galois theory.",3,"","","MATH 3320 or (the former MATH 3350 and consent of instructor)","",FALSE,"Mathematics Requirement, Science"
"40","MATH 3330","Computational Algebra","An introduction to the use of computers for symbolic mathematical computation, involving solving nonlinear systems and differential equations. A suitable software package will be used to explore applications.",3,"","","MATH 2090 or MATH 2091 or the former MATH 2300 or the former MATH 2301 or the former MATH 2350 or the former MATH 2352 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"41","MATH 3340","Complex Analysis 1","Analytic functions, Cauchy's theorem and integral formula, series representation of analytic functions, calculus of residues, Rouche's theorem and the principle of the argument. May not be held with the former MATH 3710.",3,"MATH 3710","","(MATH 2180 or the former MATH 3230) and [MATH 2150 or MATH 2151 or MATH 2720 (B) or MATH 2721 (B) or the former MATH 2750]","",FALSE,"Mathematics Requirement, Science"
"42","MATH 3360","Combinatorics 2","Advanced topics in combinatorics, including generating functions, elementary design theory, recurrences, chains and antichains, Polya counting. The course is challenging and is intended for students in mathematically rich disciplines. May not be held with the former MATH 4400.",3,"MATH 4400","","MATH 2030 or MATH 2031 or the former MATH 3400","",FALSE,"Mathematics Requirement, Science"
"43","MATH 3370","Graph Theory 2","Advanced topics in graph theory, including matchings and coverings, optimization, factors, flows, extremal graph theory, basic Ramsey theory, connectivity, and spectral graph theory. Selected applications in science and operations research are studied. The course is challenging and is intended for students in mathematically rich disciplines. May not be held with COMP 4340.",3,"COMP 4340","","MATH 2070 or MATH 2071 or the former MATH 2400 (B) or permission of instructor","",FALSE,"Mathematics Requirement, Science"
"44","MATH 3380","Introduction to Projective Planes","Affine planes and projective planes, cross ratio, complex projective plane (the great unifier), Desargues' theorem, projective planes over division rings, Pappus' theorem and commutativity, the fundamental theorem for projectivities on a line, introduction of coordinates in a projective plane. May not be held with the former MATH 2552 or the former MATH 3430.",3,"MATH 2550, MATH 2551, MATH 2552, MATH 3430","","MATH 2020 or MATH 2021 or the former MATH 3300 or the former MATH 3350 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"45","MATH 3390","Introduction to Topology","Topological spaces, continuity, connectedness, compactness, separation properties. May not be held with the former MATH 3240.",3,"MATH 3240","","MATH 2180 or the former MATH 3230 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"46","MATH 3410","Introduction to Mathematical Logic","Propositional and first-order logic. Recursion theory. May not be held with the former MATH 4250.",3,"MATH 4250","","MATH 2020 or MATH 2021 or the former MATH 2202 or the former MATH 2352 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"47","MATH 3420","Numerical Analysis 2","Numerical methods for eigenvalue problems, nonlinear systems, initial-value problems, boundary-value problems; finite difference methods for ordinary and partial differential equations; error analysis. Not to be held with the former MATH 3600 or the former MATH 3601.",3,"MATH 3600","MATH 3440 or the former MATH 2800 or the former MATH 2801","[MATH 2090 or MATH 2091 or the former MATH 2300 (B) or the former MATH 2301 (B) or the former MATH 2352] and [MATH 2150 or MATH 2151 or MATH 2720 (B) or MATH 2721 (B) or the former MATH 2750] and (MATH 2160 or MATH 2161 or the former MATH 2600 or the former MATH 2601)","",FALSE,"Mathematics Requirement, Science"
"48","MATH 3440","Ordinary Differential Equations","Theory and applications of ordinary differential equations; existence and uniqueness of solutions, linear systems, simple nonlinear systems. This course is theory-based and is intended for students in mathematically rich disciplines. Not to be held with the former MATH 3800.",3,"MATH 3800","","MATH 2180 or [(MATH 1300 (B) or MATH 1301 (B)) and (the former MATH 2730 (B) or the former MATH 2731 (B) or the former MATH 2750)]","",FALSE,"Mathematics Requirement, Science"
"49","MATH 3460","Partial Differential Equations","Method of characteristics for first order PDEs, wave, beam, heat and Laplace equations, derivation of PDEs, existence and uniqueness, energy estimates, well-posedness, maximum principles, separation of variables. Not to be held with the former MATH 3810.",3,"MATH 3810","","[(MATH 2150 or MATH 2151 or the former MATH 2750) or ((MATH 2720 (B) or MATH 2721 (B)) and (the former MATH 2730 (B) or the former MATH 2731 (B)))] and [MATH 3440 or the former MATH 3800]","",FALSE,"Mathematics Requirement, Science"
"50","MATH 3470","Real Analysis 2","Functions of bounded variation, Riemann-Stietjes integration and Lebesgue integration. Not to be held with the former MATH 3740 or the former MATH 3760.",3,"MATH 3740, MATH 3760","","[MATH 2150 or MATH 2151 or MATH 2720 (B) or MATH 2721 (B) or the former MATH 2750] and (MATH 2180 or the former MATH 3230)","",FALSE,"Mathematics Requirement, Science"
"51","MATH 3472","Real Analysis 3","Fourier series and Fourier transforms; orthogonal systems and L2 theory, convergence and approximation. Multivariable calculus of maps from Rn to Rm, general chain rule and general notion of derivative, implicit function and inverse function theorems. Not to be held with the former MATH 3740 or the former MATH 3760.",3,"MATH 3740, MATH 3760","","MATH 3470","",FALSE,"Mathematics Requirement, Science"
"52","MATH 3480","Set Theory","Axiomatic set theory. Cardinality, well-ordered sets, ordinal numbers, cardinal numbers. Axiom of Choice. Ordinal and cardinal arithmetic. Transfinite induction and recursion. May not be held with the former MATH 3220.",3,"MATH 3220","","MATH 2020 or MATH 2021 or the former MATH 2202 or consent of instructor","",FALSE,"Mathematics Requirement, Science"
"53","MATH 3490","Optimization","This course introduces the theory and practice of optimization. Both unconstrained and constrained problems are considered, as well as continuous and discrete optimization. Topics include linear programming, unconstrained optimization, constrained nonlinear optimization and integer programming. Applications to Statistics and Data Science will be explored.",3,"","","[one of MATH 2090, MATH 2091, MATH 2740, the former MATH 2300, the former MATH 2301, the former MATH 2350, or the former MATH 2352] and [one of MATH 2150, MATH 2151, MATH 2720, MATH 2721, or the former MATH 2750]","",TRUE,"Mathematics Requirement, Science"
"54","MATH 3610","Introduction to Mathematical Modelling","An introduction to the principles and techniques involved in the design, development, solution, testing and revision of mathematical models of real world phenomena illustrated through the discussion of case studies. May not be held with the former MATH 3820 or the former MATH 3821.",3,"MATH 3820, MATH 3821","","MATH 2150 or MATH 2151 or MATH 2720 (B) or MATH 2721 (B) or MATH 2130 (B) or consent of Instructor","",FALSE,"Mathematics Requirement, Science"
